,BTC,XRP,ETH,BCH,EOS,XLM,BSV,LTC,TRX,ADA,MIOTA,XMR,DASH,BNB,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0948365115813552,0.0577733793549108,0.0133803761408548,0.00676529332026748,0,0,0,0.0177244672334613,0,0.0663778517558394,0,0,0,0,0,0,0
XRP,0,0,0,0.0723994208819297,0.0653156354222357,0.12174600660176,-0.0089688921946413,0,0,0.0901434486118329,0.0569361224481262,0,0,0.0691390959383395,0,0,0,0,0,0
ETH,0,0,0,0.173460651058818,0.0341652184673346,0,0,0,0,0,0,0,0.174028126510453,0,0,0,0,0,0,0
BCH,0,0,0.0492145634653819,0,0.127922976736505,0,0.0328557089873425,0,0,0.0559958918038208,0.157445940732132,0,0.330475539673939,0,0,0,0,0,0,0
EOS,0,0,0,0.00134559870733071,0,0.261297606771019,0,0.136262034955764,0,0.183086388258765,0,0,0.125523574573362,0,0,0,0,0,0,0
XLM,0,0,0,0.141040121818,0.0834709433536345,0,0,0,0,0.320662563386997,0,0,0,0,0,0,0,0,0,0
BSV,0,0,0,0.308480567364109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0.0180564321491495,0.124740352247816,0,0,0,0,0.432157031337588,0.0323774565641723,0.103822316963991,0,0,0,0,0,0,0,0
TRX,0,0,0,0.14470971186642,0,0,0,0,0,0,0.0631979834226289,0,0.0959877312842418,0.0811956546071767,0,0,0,0,0,0
ADA,0,0,0,0.232416447885803,0.164030040826638,0.0657227225190818,0,0.0273753931140118,0.0236831316399171,0,0.0279260579012756,0,0.0168230022422148,0.00592387858985492,0,0,0,0,0,0
MIOTA,0,0,0,0.275930674979536,0.0048863920268771,0,0.014942735849262,0,0,0,0,0,0.154776294185812,0,0,0,0,0,0,0
XMR,0,0,0,0.151263301515863,0,0,0,0,0,0,0.0649272998104795,0,0.245723659501777,0,0,0,0,0,0,0
DASH,0,0,0,0.0689923792285163,0.238379007906466,0,0.00661505910542501,0,0.265026942282342,0,0,0.193102693021284,0,0,0,0,0,0,0,0
BNB,0,0,0,0.0243117338986653,0.0765311554448694,0,0,0,0,0.0724749409495488,0.0670370773226889,0,0.0513617627864979,0,0,0,0,0,0,0
XEM,0,0,0,0.135889176435259,0,0,0.000200966269406935,0,0,0,0,0.134958800905008,0.0826930555757818,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0172156439133759
CVIX.INDEX,0,0,0,0.0000001031330493818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037402758145325
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.113392346415154
VIX.INDEX,0,0,0,0,0,0,0.000000543825675765954,-0.0000000000000000000000529395592033938,0,0,0,-0.00000140816087672143,0,0,0,0,0.354334442067675,0,-2.64665130547538,0
