,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,NEO,MIOTA,XMR,DASH,TRX,XEM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0.0393647646377641,0,0,0.0905039119568608,0,0.156044286119246,0.20322662189302,0.10331860425719,0,0,0,0,0,0,0
ETH,0,0,0.00773766427644333,0.0885948191277787,0,0.10727601695007,0,0,0.0832467561293539,0,0.177968120945124,0,0,0.00784685627679903,0,0,0,0,0,0
XRP,0,0,0,0,0,0.0126042434242267,0.0659602993601993,0.135064292738115,0,0,0.200666979299087,0,0.0172520831946552,0.0476426763980061,0.170931329349498,0,0,0,0,0
BCH,0,0,0,0,0.221189110490372,0,0,0,0.0470001220985633,0.121869822441515,0,0,0,0,0.0279458278225242,0,0,0,0,0
LTC,0,0,0,0,0,0,0,0,0,0,0.249908328830192,0,0.102857909582748,0.0237879847519936,0.168925031070329,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0,0,0,0.212115163086616,0.0716854459483982,0,0.020595106049088,0.247862477005006,0,0,0,0,0
ADA,0,0,0.156939979844927,0,0,0.145328799494477,0,0.268654248011696,0,0,0.052776227691143,0,0.0506776508158056,0.0686179827270895,0,0,0,0,0,0
XLM,0,0,0.0427908711336206,0,0,0,0.377431427952834,0,0,0,0.0169205931987853,0,0.103081819018129,0,0.148784741842405,0,0,0,0,0
NEO,0,0,0,0.0825639635876706,0,0.00227767897079236,0,0.0997096145463899,0,0.301447989682554,0.144618609897769,0,0,0,0.101307902128685,0,0,0,0,0
MIOTA,0,0,0,0,0.0885476437377746,0,0,0,0.0630135442191751,0,0.373392002095276,0,0.10478152986111,0,0.0948932952710553,0,0,0,0,0
XMR,0,0,0,0,0.11614565145644,0,0,0,0.229849329016294,0,0,0.322980882964048,0.0119653021416753,0,0,0,0,0,0,0
DASH,0,0,0.00185110182273097,0.241499025214408,0,-0.000000000000000000867361737988404,-0.000000000000000000867361737988404,0.132258685888865,0,0,0.1430392895749,0,0.0595647938916638,0,0,0,0,0,0,0
TRX,0,0,0,0.217768294913075,0,0.0716510430897467,0,0,0.143932791241445,0.157546836677058,0.114158295822412,0,0,0.109588377642078,0,0,0,0,0,0
XEM,0,0,0,0,0,0.00216638327010518,0.179369692304764,0.0648041085024251,0.0310252574896145,0,0,0,0.306484741784157,0,0,0,0,0,0,0
ETC,0,0,0,0,0.00488725071215792,0.415461337463959,0,0,0.0726121524659546,0,0,0,0.0586699203780264,0,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.0175599547641209,0.0204580886827863,0,0,0,0,-0.0170505216814082,0,0,0,0,-0.00686840261512235,0,0,0,0,0,-0.0377336849108157
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00307842778993604
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0544650572965302
VIX.INDEX,0,0,0,-0.00930450250748902,0,-0.00965787183400597,0,0.000470045993024259,0,-0.0257313341410337,0,0,0.0420004200429112,0,-0.000469141050869116,0,0,0,-2.54663140616263,0
