,BTC,ETH,XRP,BCH,ADA,LTC,XEM,NEO,EOS,XLM,MIOTA,DASH,XMR,TRX,BTG,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0.0151432262884221,0,0,0.0855964698335341,0.0387783351673355,0.0562696701132957,0,0,0.0425196974284861,0.0209577246904101,0,0,0,0,0
ETH,0,0,0.014096528205322,0.0627947504070587,0,0.204905273969373,0,0.106511978575915,0.0169345161206994,0.015802452392021,0,0,0,0.0401312172896605,0.060839852187774,0,0,0,0,0
XRP,0,0,0,0,0.145414911375479,0,0.1136847792913,0,0,0,0,0,0,0.0490658985365612,0,0,0,0,0,0
BCH,0,0,0,0,0,0.0565415110921158,0.0784111461834399,0.0792980767822336,0.150340754315024,0,0,0.171273238010395,0,0,0.0953314541604122,0,0,0,0,0
ADA,0,0,0.124284053404375,0,0,0,0.0707545715688378,0,0.0221913581404855,0.444460003601149,0,0,0,0,0,0,0,0,0,0
LTC,0.0824241337890892,0.0231988853130501,0,0,0,0,0.233859429676159,0,0,0,0.0572176314953417,0.13534634396923,0,0,0,0,0,0,0,0
XEM,0,0,0.136164021976796,0,0.025256422385038,0.0254061476660505,0,0,0,0.257149806454405,0.0477982877160475,0,0,0,0.0777729998108987,0,0,0,0,0
NEO,0,0.263741682089618,0,0.0363180094372544,0,0,0.0265028916541085,0,0,0.24573514798249,0,0,-0.00000000000000000693889390390723,0,0,0,0,0,0,0
EOS,0,0,0.0150616419628684,0.0614042066822742,0,0.225398808661122,0.0229298796825154,0,0,0.0459542855077426,0,0,0.276307264616421,0.0737522276089846,0.0800129130825737,0,0,0,0,0
XLM,0,0,0.110316261499907,0,0.306782889144229,0,-0.000000000000000000433680868994202,0,0.00740501199808353,0,0.205451136648164,0,0.133960955350935,0,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0.0549378457140726,0.167646194593563,0,0.12722351159184,0.278839264587538,0,0,0,0.0759643136410135,0,0,0,0,0,0
DASH,0,0,0,0.100917915563804,0.0233366897433767,0.106472148536068,0.008933656934413,0,0,0,0,0,0.1033801758354,0.088279643192793,0.0957025735347616,0,0,0,0,0
XMR,0,0,0,0,0,0.00423920487701565,0,0.0448075977241297,0.0726274987901184,0.157596609971222,0.0643825872612269,0.264277070654527,0,0,0.0259527805991719,0,0,0,0,0
TRX,0,0,0,0.154248356999348,0.124332279884225,0.0534529307513388,-0.000000000000000000867361737988404,0,0,0,-0.000000000000000000216840434497101,0,0,0,0,0,0,0,0,0
BTG,0,0,0,0.481857229990287,0,0,0.00418526843421783,0,0,0,0,0,0.102132858124262,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,-0.0101686139569891,0,0,0,0.00850466125187686,0.00929243479076768,0,0,0,0.00543835916281146,-0.00476046289650508,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,-0.00313745073403186,-0.00136633268142426,0,0,0,0,0,0,0.000166743395156992,0,0,0.00382857013416658,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
