,BTC,ETH,BCH,XRP,LTC,ADA,MIOTA,DASH,XEM,XMR,BTG,EOS,XLM,NEO,TRX,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.151161456596177,-0.0138363948741515,0,0.032744965039816,0,-0.0797233104318171,-0.0687519893094015,0,0.021107683122997,0.167628276316306,0,0,0.0640338098595363,0,0,0,0,0
ETH,0,0,0,0,0.161489002025012,0,0,0,0,0,0,0.0556854385429491,0,0.0775741577653923,0.0688280024333069,0,0,0,0,0
BCH,0,0,0,0,0,-0.0131080959412153,0,0.190851287988719,0.0624678730583975,0,0.086658082407131,0.160389636400435,-0.0607464859200705,0.242734776847509,0,0,0,0,0,0
XRP,0,0,0,0,0.0388423382768646,0.0894411614136368,0,0,0.105884945538871,0,0,0.0125317035577754,0,0,0,0,0,0,0,0
LTC,0,0.220145256633443,0,0,0,0.0135524663936613,0.0545193454290727,0,0.123324507810538,0,0,0,0.0285066405017845,0,0,0,0,0,0,0
ADA,0,0,0,0.148420414738034,0,0,0.0822982480045487,0,0.0514106520213459,0,0,0,0.406047253082047,0,0.0104287032071981,0,0,0,0,0
MIOTA,0,0,0,0,0,0.121085387830939,0,0,0.16866588739089,0.0676308697997276,0,0,0.179893247151762,0,0,0,0,0,0,0
DASH,0,0,0.0698770020486739,0,0.0383725953533764,0.0733282476475102,0,0,0.0205452337078513,0.052526898241791,0,0,0,0.0108378369524431,0,0,0,0,0,0
XEM,0,0,0,0.0954638523084655,0,0.167668724729146,0.0724653043018625,0,0,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0,0,0.00227494730525528,0.0382105366297244,0.142899100641043,0,0,0.00211298491463193,0,0.185258540036999,0.0614267278841907,0,0,0,0,0,0
BTG,0,0,0.532079050921452,0.0108678101914478,0,0.0229085837345642,0,0,0.000000000000000000216840434497101,0,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0.10807553894706,0.0986095677252773,0.128251681510431,0,0.0736808609720778,0,0,0,0.0134246593330984,0,0.204623100642677,0.144006806275369,0.0538678303079011,0,0,0,0,0
XLM,0,0,0,0,0,0.250634857426258,0.122343617743139,0,0,0.293240564604291,-0.0234954249245885,0.0613442265901339,0,0,0,0,0,0,0,0
NEO,0,0,0,0,0,0.0477998274897127,0,0,0.0352278161340907,0.0550840963119239,0,0.0583915245801376,0,0,0.0384017002325809,0,0,0,0,0
TRX,0,0.314628814867623,0,0,0.105845917027809,0.152620628412773,0.000000000000000000867361737988404,0,0,0,-0.0487564463073564,0.183397290700665,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,-0.0174056676979113,0,0,-0.000185127164611606,0,0,0.00692619154886566,0.0266914190090056,0,0.00759646075333901,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,-0.000792393003223482,0,0,0,0.00284099446352893,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,-0.00000000174644991136119,0,0,0,0,0,0,0,0,0,0,0,0,-0.0123793253513395
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
