,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,MIOTA,TRX,ETC,DASH,NEO,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.174826856961254,0.0189931806845257,0,0,0,0.0575992539855409,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0.218295964037974,0.125719401791291,0,0,0.0236670512402485,0,0.0299986346507348,0.0054437939367713,0.103186857836932,0,0.104309661482779,0,0,0,0,0,0
XRP,0,0,0,0,0.18480943760496,0,0,0,0,0.282392940765373,0,0,0,0.0250280163675521,0,0,0,0,0,0
BCH,0,0,0,0,0.0521004834722665,0,0,0.202218600708678,0.100364836039245,0.0942160219171512,0.168514646948231,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0.195544389983807,0,0,0,0.00205055626874685,0,0,0.0603723820568264,0.0163448011508719,0,0.343333768038595,0,0,0,0,0,-0.0575227520972475
XLM,0,0,0,0,0,0,0,0.522081900400295,0,0,0,0,0,0.086267699395094,0,0,0,0,0,0
LTC,0,0,0,0.303116548004028,0.0461994509160072,0,0,0,0,0.101933253704329,0,0,0,0,0,0,0,0,0,0
ADA,0,0,0,0.0603961312835254,0.190294002112516,0.114219889005346,0,0,0,0,0.135473263801711,0,0,0.124029396251924,0,0,0,0,0,0
XMR,0,0,0,0.403525863974779,0,0,0,0,0,0.124984026641533,0,0,0,0.0216574240604893,0,0,0,0,0,0
MIOTA,0,0,0.100741484257688,0,0,0,0,0,0,0,0.0282536713094566,0.0444990177215243,0,0.570239586215919,0,0,0,0,0,0
TRX,0,0,0,0,0.233940884261445,0,0,0.172012393544064,0,0.242744230127987,0,0,0,0,0,0,0,0,0,0
ETC,0,0.211026047234855,0,0,0,0,-0.00000000000000000693889390390723,0,0.164847096918532,0.195837364355503,0,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0,0,0,0,0.123718211282905,0.0102907336491136,0.107534505421681,0,0,0,0.246097140547649,0,0,0,0,0,0
NEO,0,0,0,0,0.187405997028709,0,0,0.104846877546644,0,0.414420827988806,0.114020272697305,0,0,0,0,0,0,0,0,0
BNB,0,0,0.0407501270792736,0,0.260807552385704,0,0,0,0,0.0878661670212233,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,-0.000000000000000000867361737988404,0,0,0,0,0,0.0142735303142309,0,0,0,0,0,0,0,0,-0.0615536813595915
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0.00000193237670488194,0,0,0,0.0000000000000000000000529395592033938,0,0,0,0,-0.00000148307025630585,0,0,0.0571497322087797,0,0,-0.00815876807434853
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.04970789701927
VIX.INDEX,0,0,0,0,0,-0.00000794802737861307,0,-0.00000223744918416706,-0.0000043193361024367,0,0,0,0,0,0,0,0.974847611157702,0,0,0
