,BTC,ETH,XRP,LTC,DOGE,DASH,XLM,XMR,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.516569090392547,0,0,0,0.0556960534940351,0,0,0,0,0,0,0
ETH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0.0959360646765911,0,0.0585916460147247,0.0252382184203952,0.0215993414748006,0.000599502105553698,0,0,0,0,0
LTC,0.445431196860115,0,0,0,0.0125994917805204,0,0,0.00547933534850909,0,0.00700639088569483,0,0,0,0,0
DOGE,0,0,0,0.733431480402248,0,0,0.125029023411532,0,0.0121852299296758,0,0,0,0,0,0
DASH,0,-0.16090894427035,0,0,0,0,0,0,0,0.122988568554508,0,0,0,0,0
XLM,0,0,0,0,0.166731243864465,0,0,0,0.0319394793895944,0.131664547090721,0,0,0,0,0
XMR,0.615744280976079,0.0444410993897291,0,0,0.0171064235161683,-0.136841599534507,0.144096898591942,0,0,0.0439060211570417,0,0,0,0,-0.00000000000000000173472347597681
XEM,0.292551128944314,-0.0738115877947316,0,0,0,0.286991374104845,0.367287001812801,0,0,0.0647810151722935,0,0,0,0,0
DGB,0.367187194154586,0,0,0,0,0.0684754691934822,0.596567387011517,0,0,0,0,0,0,0,0.0728671348241449
BV010082.INDEX,0,0,0,0,0,0,-0.000161221432402838,0,0,0,0,0,0,0,-0.0383912770857112
CVIX.INDEX,0,0,0,0,0,0,0,0,-0.000001151600307677,0.00000158945206093355,0,0,0,0,0.046989688280486
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,-0.000000708046119631913,0,0,0,0,-0.0998341585434339
VIX.INDEX,0,-0.00505201545122446,0,0,0.0178845461241608,0,0,0,0.0000000000000000000016940658945086,0.01357816843889,0,0,0,-2.85567976562588,0
