,BTC,INNBCL,ETH,XRP,BCH,BSV,LTC,BNB,EOS,TAGZ5,XTZ,XLM,LINK,ADA,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0000483442399049567,0,0,0.00411241730846965,0.0883454638878667,0,0,0,0.00110361834325039,0.145955431135466,0,0,0.0711864669800576,0,0,0,0,0,0
INNBCL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0.175999585296405,0.0877065088431122,0,0,0,0.0178956394004626,0.21278775169808,0,0,0.0791997630543694,0,0,0,0,0,0
XRP,0,0,0.0678671017202659,0,0.114292644946543,0.0888884858937168,0,0.0514637962155414,0,0,0.0849818079499294,0,0,0.0938567107841005,0,0,0,0,0,0
BCH,0,0,0.210288001982933,0,0,0.299048070620095,0,0,0.123116213255502,0,0,0,0,0.0960992918401372,0,0,0,0,0,0
BSV,0,0,0,0,0.626339111492749,0,0,0,0,0,0,0,0.0674015795204606,0,0,0,0,0,0,0
LTC,0,0.00243074064218023,0,0,0,0.00220176195274395,0,0,0,0,0.221597263676596,0,0.0374936572838832,0.083868941028119,0,0,0,0,0,0
BNB,0,-0.00234260673010326,0.373059620928528,0,0,0,0,0,0,0,0.154679664465076,0,0,0.0653650528743877,0,0,0,0,0,0
EOS,0,-0.00170969785426554,0.0246875386933596,0,0.263757220865868,0.0657872757553783,0,0,0,0.0135228452567069,0.131714063470953,0,0,0.0512347347983778,0,0,0,0,0,0
TAGZ5,0,0.00439068145036159,0.169036080684538,0,0.15907270265024,0,0,0,0,0,0.101011342732679,0,0,0,0,0,0,0,0,0
XTZ,0,0.00358768103463905,0.278728945430862,0,0,0,0,0,0,0.0240011744881273,0,0,0.472000305984526,0,0,0,0,0,0,0
XLM,0,0.000671848894248412,0,0,0,0.184205278437779,0,0,0,0,0.181335742785088,0,0,0.276787627028259,0,0,0,0,0,0
LINK,0,0,0,0,0,0,0,0,0,0,0.56821380742911,0,0,0,0,0,0,0,0,0
ADA,0,-0.00336048743299375,0,0,0.130833193206415,0,0,0.0705251357573577,0,0,0.438942404027464,0,0.0209542225570387,0,0,0,0,0,0,0
XMR,0,-0.00431979663503279,0,0,0,0.0508831104692271,0,0.173461742783192,0,0.0270211662662891,0.184274784760044,0,0,0.167985153660121,0,0,0,0,0,0
BV010082.INDEX,0,-0.0021300632852827,0,0,0,0,0,0,0,0,-0.0148888601690169,0,0,0,0,0,-0.0987196893022925,0,0,0
CVIX.INDEX,0,-0.000000718512654238673,0,0,0,0,0,0,0,0.000000420268290666209,0,0,0,0,0,0,0,0,-0.404049175475204,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,-0.000000185291372172933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.197925642720914
VIX.INDEX,0,0.000446347097401209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125285854883725,0,-1.43289703142526,0
