,BTC,ETH,XRP,BCH,LTC,ADA,NEO,XLM,XMR,EOS,MIOTA,DASH,XEM,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0128068091455567,0.0891596967085191,0,0,0,0,0.0957936142929228,0.0757240929483751,0,0,0,0.0409341357091534,0,0,0,0,0,0
ETH,0,0,0,0,0,0,0.0199372412120193,0,0.0687294242504203,0.0555287513495641,0,0,0.14875388847783,0.0234997796274864,0.183841254749213,0,0,0,0,0
XRP,0,0,0,0,0.0996953430753837,0,0,0.316878762760113,0,0,0,0,0.0811541444873214,0.151908773541335,0,0,0,0,0,0
BCH,0,0,0,0,0.21762754549466,0,0,0,0.0607021391954985,0.111165347651432,0.025054192768692,0,0,0,0.0729507616514034,0,0,0,0,0
LTC,0,0,0.0222224175639215,0.178694516142024,0,0,0,0,0.15140955935285,0.0175850919810824,0,0,0,0.00759018249327771,0.1505907800384,0,0,0,0,0
ADA,0,0,0.119261598659661,0,0,0,0,0.346885327708348,0.0189056054398606,0.0383474539155674,0,0,0.0580570247518661,0.0371318346853627,0,0,0,0,0,0
NEO,0,0.203745344522403,0,0,0,0.0968738189435766,0,0.0706765514084281,0.100308049506482,0,0.136467815607312,0,0.0390395476498892,0,0.239322662751885,0,0,0,0,0
XLM,0,0,0.22177031355646,0,0,0.423600828726226,0,0,0,0.0304979854941116,0,0,0,0,0.0808107294581087,0,0,0,0,0
XMR,0,0,0,0,0.0427705306048316,0.0589781696259041,0.160307059427647,0,0,0.0137603968485708,0.0344416343445055,0.366615819901208,0.106405468113122,0,0,0,0,0,0,0
EOS,0,0,0.0331829479249556,0,0,0,0,0.117580997481383,0.0932751122297122,0,0,0,0,0.152644872911375,0.200084985115663,0,0,0,0,0
MIOTA,0,0,0,0.218870846723375,0.103877505215422,0,0.102732182624936,0,0,0.174038282622705,0,0,0.0242970302719226,0.0527353525200514,0.0360880741155937,0,0,0,0,0
DASH,0,0,0.1458970400332,0.0358175741916614,0,0,0,0,0.219530437202647,0.130279132521942,0,0,0,0.064533264605745,0,0,0,0,0,0
XEM,0,0,0,0,0,0.149355963937252,0.00954328833328803,0.234180713838349,0.0291415280913925,0.151378934052102,0,0,0,-0.000000000000000000433680868994202,0,0,0,0,0,0
TRX,0,0,0.548813261523819,0,0,0,0,0,0,0.0783606631904228,0.168663729145709,0,0.135055618362873,0,0,0,0,0,0,0
ETC,0,0,0.138691687492919,0.0691679406418056,0,0,0.293864172951909,0,0,0.220325486919912,0,0,0,0.0621740885047228,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0.019299453485935,0,0,-0.000185460871588377,0,0,-0.000000000000000000216840434497101,0,0,0,0,0,0,0,0,0,-0.0493123082776072
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,-0.000000156674418385302,0,0,0,0,0,0,0,0,0,0,0,0.00522857940982178
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000000106872288971225,0,0,0,0,0,-0.054465127711343
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
