,BTC,XRP,ETH,XEM,LTC,DASH,ETC,XLM,XMR,DOGE,ZEC,DGB,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0.44109267973335,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0.00576898372353811,0.17104238850064,0.0936492553936788,0,0.12376975106868,0,0,-0.0125462015120633,0.059403712399179,0,0,0,0,0.0289150238080678
XEM,0,-0.0606535178727267,0,0,-0.0978606086810787,0,0.0988383287489315,0,0.494706769766473,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0,0,0,0,0.0474862943511276,0,0.141349505861904,0,-0.0814750160379299,0,0,0,0,0,0
DASH,0,-0.0730091147778224,0,0,0,0,0,0.0436272159339284,0.262689673330273,0,0.101328467704918,-0.00859345471358151,0.00000000000000000346944695195361,0,0,0,0,0
ETC,0,-0.0320600753800505,0.382867408538376,0,0.0217787829155093,0,0,0,0,0,0,-0.00938499392880604,0,0,0,0,0,0
XLM,0,0.386500335422614,0,0,0.0469925569477059,0,0.0543896487923847,0,0,0.173130992887955,0,0.0384428083770844,0,0,0,0,0,0
XMR,0,0,0.0985398288946626,0.141150455186943,0.00610134789351647,0.0503491634005285,0,0.0195873554900578,0,0.0129300884913346,0,0,0.0957380558590296,0,0,0,0,0
DOGE,0,0.165138705479162,0,0,0.0818421696560805,0,0,0.134738834874908,0,0,0,0,0.0704683476155928,0,0,0,0,0
ZEC,0,0,0,0.0350399103830229,0,0.0964678763363332,0.0538080046315326,0.00447931563188798,0,0.0423350773124739,0,0,0.197869616297085,0,0,0,0,-0.0327695411935506
DGB,0,-0.308034359227256,-0.1543696569366,0.0705859021939498,-0.170955012287746,0,-0.185853567726641,0.335093584189985,0,0.394043916106381,0,0,0.076366817200359,0,0,0,0,-0.655924569583439
NEO,0,0,0,0,0,0,0,0,0,0.0322567637176056,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0.00113951862388768,0,0,0,0,0,0,0,0,0,-0.00233468957429379,0,0,0,0,0,-0.0879989144436098
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,-0.000569815297938303,0,0,0,-0.00296649972989103,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0.00000121995958958263,0,0,0,0.00000387619266598071,0,0,0,0,0,-0.0217923688844563
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
