,BTC,ETH,XRP,BCH,LTC,NEO,XLM,ADA,EOS,MIOTA,XMR,DASH,XEM,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0379347863039072,0,0.0974587824950816,0,0,0,0.0836795838126519,0.248366936244976,0,0.0768459429740853,0.0356741259684636,0.0244387536826413,0,0,0,0,0
ETH,0,0,0.0269369260549444,0.0725475126236111,0,0.0105813267846214,0,0.0898811982865869,0.171242694899565,0.0525597553331179,0.0353112985898136,0.0383878419038826,0,0.0563953989504484,0.043372893328936,0,0,0,0,0
XRP,0,0,0,0,0.0819342168022298,0,0.0735210140406697,0,0,0,0,0,0,0.328857695629483,0.106285298713051,0,0,0,0,0
BCH,0,0,0,0,0.00712849599836898,0,0,0,-0.00000000000000000173472347597681,0.121500471500512,0.126715837163367,0,0,0,0.094716877570683,0,0,0,0,0
LTC,0,0,0.0306564276761466,0.129717639734661,0,0,0,0.0499615108999563,0,0,0.176625334469627,0,0.0208870569059002,0.0468436617096446,0.121302528678705,0,0,0,0,0
NEO,0,0,0,0.113044940925574,0,0,0.0240312528465181,0,0.110230148043834,0.16539172024625,0.137949686916553,0,0,0,0.107738663337846,0,0,0,0,0
XLM,0,0,0.270116973468821,0,0,0,0,0,0.144828338381854,0,0.0403840839453842,0,0,0.151712710165372,0,0,0,0,0,0
ADA,0,0,0.233106817656578,0,0,0.106734136098208,0.102334126756013,0,0.034003240864331,0,0.0621745065247124,0,0.0299143948601709,0,0,0,0,0,0,0
EOS,0,0,0,0,0,0,0.00000000000000000693889390390723,0,0,0,0.183358913170923,0,0.00213864532878337,0.108923266836013,0.257298883633902,0,0,0,0,0
MIOTA,0,0,0,0.0387380642958773,0,0.0426610674958352,0,0,0.227915167727814,0,0.220135709278722,0.0865550710213774,0,0.162950548609017,0.0210373347036704,0,0,0,0,0
XMR,0,0,0,0,0.166351341268685,0.247079309394427,0,0,0,0,0,0.3687118093923,0,0,0,0,0,0,0,0
DASH,0,0,0.0714686750936236,0.279839734480776,0,0,0.10782463359578,0,0,0,0.138278614049689,0,0,0.0764190209627629,0,0,0,0,0,0
XEM,0,0,0,0,0,0.0151812741550137,0,0.131906344041283,0.284881475833417,0,0,0,0,0.214564772870526,0,0,0,0,0,0
TRX,0,0,0.388295166527139,0.111606935367896,0,0.140077904047229,0,0,0,0.203950520910648,0,0.0644350934735591,0.0479303452272244,0,0,0,0,0,0,0
ETC,0,0.0714139998097553,0.150453225051416,0.0189042839319454,0.00000000000000000346944695195361,0.149444735924215,0,0,0.25337818366977,0,0,0,0.0259440665405297,0.0991960813660577,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0.00899107406415153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.047508168624784
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0166610133957378
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00522858426764445
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0544648937359334
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
