,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,XMR,XLM,TRX,ADA,ETC,DASH,XTZ,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.145911548848098,0.00631791213454377,0.120451312236023,0.035526227898026,0,0,0,0.057705626154659,0,0,0.0148521774463994,0,0,0,0,0,0
ETH,0,0,0,0.109224141092,0.0511400739194924,0,0.114401793949984,0,0,0,0,0.0397343743290324,0,0.0627064089527849,0,0,0,0,0,0
XRP,0,0,0,0.0392764793094801,0.0428008865867008,0,0.160292728327726,0,0,0,0.0603671089391158,0.0508730631752358,0,0.0182703815694939,0,0,0,0,0,0
BCH,0,0,0,0,0.270698125203443,0.00985316645618454,-0.00000000000000000010842021724855,0.0449237480857654,0,0,0.123037945215108,0,0,0.0409281317306893,0,0,0,0,0,0
BSV,0,0,0,0.477633263738162,0,0,0.276287904079211,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0.193828400995573,0.00992829976603147,0,0.461169804239719,0,0,0,0,0,0,0.025410271885289,0,0,0,0,0,0
EOS,0,0,0,0.147058546610908,0.134846048644192,0,0,0,0,0,0.0351025229696248,0,0.0185729231767354,0.0518576255026489,0,0,0,0,0,0
BNB,0,0,0,0.2137383174771,0,0,0.00959452665330647,0,0.0229597918702074,0,0,0.104822962919637,0,0.107193924117213,0,0,0,0,0,0
XMR,0,0,0,0.103108310762752,0,0,0,0.231087809876211,0,0,0,0,0,0.122690248021945,0,0,0,0,0,-0.0556181505753371
XLM,0,0,0,0,0,0.0861155419143887,0,0.0984892401184998,0,0,0.0364289736460298,0.170299449961553,0.0750400231778001,0.0769272882513622,0,0,0,0,0,0
TRX,0,0,0,0.134362903305048,0.0178993163999601,0,0.118337522930901,0.0420205533058043,0,0,0,0.127966168345788,0.0910279499910605,0.0587679029620681,0,0,0,0,0,0
ADA,0,0,0,0.133260424732083,0.03608075011177,0,0,0,0,0,0.26921062021077,0,0,0.0652344548910385,0,0,0,0,0,0
ETC,0,0,0,0,0.000000000000000000867361737988404,0,0,0,0,0,0.122207665080915,0,0,0.321820156829809,0,0,0,0,0,0
DASH,0,0,0,0,0.211371588988939,0.324479051118087,0,0.11121826005434,0,0,0,0,0,0,0,0,0,0,0,0
XTZ,0,0,0,0,0.0312804408717183,0,0,0,0,0,0,0,0,0.0394838067530319,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.0104217662789496,0,0.0117731510933223,0,0,0,0,0,0,0,-0.0112979642368907,-0.00409497493515568,0,0,0,0,0,-0.0646301198440312
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0.00528368396044362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0260659156951615
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
