,BTC,ETH,XRP,BCH,LTC,EOS,BNB,XLM,ADA,TRX,XMR,BSV,DASH,MIOTA,XTZ,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0461621118630231,0,0.111622051202219,0,0,0,0,0,0.0387740634213211,0,0,0.025208647566721,0,0,0,0,0
ETH,0,0,0,0,0.0711827628698977,0.148312515264178,0,0,0.0444177029086514,0,0,0.045842718494986,0,0,0.0216587116644965,0,0,0,0,0
XRP,0,0.0225196838668397,0,0,0,0.106128919519327,0,0.014508565813256,0.0729372934100743,0.0076685490006883,0.0570267162905785,0.0385897746035807,0,0,0.0226652444881754,0,0,0,0,0
BCH,0,0,0,0,0.57840129985419,0,0,0,0.0802334138827348,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0.450796855093734,0,0.127780532265231,0,0,0,0,0,0.00892304144371159,0,0,0,0,0,0,0,0
EOS,0,0.0912993780331276,0,0.0109856794302451,0.409324214045746,0,0,0,0,0.0181325957778288,0.10325244264971,0,0,0,0.0193602146178821,0,0,0,0,0
BNB,0,0,0,0,0.102468016635797,0,0,0,0,0,0,0,0.366912329791131,0,0,0,0,0,0,-0.0224732058303576
XLM,0,0,0,0.00474457409750105,0,0.0589581220095591,0,0,0.0757127233455293,0,0.158116763126494,0,0.196934440594452,0,0,0,0,0,0,-0.0349340148822401
ADA,0,0,0,0.314896719008142,0,0,0,0,0,0,0.153497926752328,0.128247370141055,0,0,0.0438128183364246,0,0,0,0,0
TRX,0,0,0,0,0,0.167109544977613,0,0.0825886200027297,0.0372530079435449,0,0.14200602354174,0.0463910573997931,0,0,0,0,0,0,0,0
XMR,0,0.0690027804615552,0,0.0127371164557226,0,0.0676068053907377,0,0,0,0,0,0.132538264018383,0.19618479007182,0,0.0344662224603828,0,0,0,0,0
BSV,0,0,0,0.0565970833887867,0.286308891653698,0.0308993659902976,0.0228089117144265,0,0.0514320021625835,0,0,0,0,0.06784119563114,0,0,0,0,0,0
DASH,0,0,0,0,0.0676737057365606,0.00665153674039033,0.02338401415465,0,0.0780794571876965,0.0385071444343762,0.199065325449559,0,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0,0.0707972091731804,0,0.193965153698792,0.173947881524091,0,0,0.0106828295564072,0,0,0,0,0
XTZ,0,0,1.00858744843725,-0.0498595284591176,0,0,0,0,0,0,0,0,0,0,0,0,-0.129842037916719,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0393544132541319
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0671921006529091
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
