,BTC,ETH,XRP,XMR,LTC,ETC,DASH,XEM,DOGE,ZEC,XLM,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.224615766225577,0,0,0,0,0.0170865264616086,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0,0.010506656488487,0,0,0,0.00159551108554642,0.187717617826275,-0.000000000000000000216840434497101,0.109567569388223,0,0,0,0,0
XRP,0,0.0826807577023871,0,-0.0362041134991182,0,0.0283788801364598,0,0.0262187606059057,0,-0.00367361673128348,0.0457964185422317,0,0.0158169364573311,0,0,0,0,-0.0309231701905618
XMR,0,0,0,0,0,0,0,0,0,0.0538024909899024,0,0,0,0,0,0,0,0
LTC,0.454871281110541,0,0,0,0,0,0,0,0,0.00361503870206421,0.00317905852379394,-0.0171420175607663,0,0,0,0,0,0
ETC,0,0,0,0,0,0,0.539527718079657,0,0,0.0360039798708845,-0.0672477100633541,0.0324409662500027,0.368813635755466,0.539378190038493,0,0,0,0.0051723121625756
DASH,0,0.146973306197926,0,0.0176857526136284,0,0.230286179931305,0,0.00282577072168692,0,0,0.0380215170559226,0,0,0,0,0,0,0
XEM,0,0,0,0.187721946475005,-0.269348966535093,0.109843080919742,0,0,0.59211667876388,0.0196377172165338,0.000000000000000000216840434497101,-0.0856402966074057,0.0236606189149239,0,0,0,0,-0.0217328167858487
DOGE,0,0.0110426746861716,0,-0.0552000737324837,0.195593746386139,0.0530406313681492,0,0,0,-0.00339979975975161,-0.0171046084661535,0.0277084064279992,0.0339992875970795,0,0,0,0,0.0178750265112804
ZEC,0,0.0899943649942722,0,0.105305416559096,0.378483210891041,0,0.258764283628881,0,0,0,0,0,0.416634299302789,0,0,0,0,0
XLM,0,0.224272662041434,0,0,0,0.0085235373474465,0.0627164795286117,0,0,-0.0126036165063468,0,0,0,0,0,0,0,0
NEO,0,0,0,0,0,0,0,0,0,-0.086753609302966,0,0,0,0,0,0,0,0
DGB,0,0.146905586735759,0,0.0278244716428569,0,0.100591374890623,-0.107055195627228,0,0,0.0469779492142861,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0.00784295182272317,0,0,0,0,0,0,-0.0376843346751649
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0.00792123557182508,0,0,0,0,-0.0166228502664624
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0384174037341274
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
