,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,INNBCL,TAGZ5,XTZ,LEO,XMR,XLM,ADA,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.010579195127446,0.0840486211241348,0,0,0,0,0.00424959894744195,0.0877581511494808,0,0.101105234186397,0,0,0,0,0,0,0
ETH,0,0,0,0.240429718307523,0.104962803069221,0,0,0,0.00266161952782585,0,0.247797814291178,0,0,0,0,0,0,0,0,0
XRP,0,0.197361599821615,0,0.0509428697701856,0,0,0,0,0.00102923684953155,0,0.00527583532485277,0,0.000473946193587559,0.0384220355025897,0.264528986605989,0,0,0,0,0
BCH,0,0,0,0,0.35527013157871,0,0,0,0.00048775763879744,0,0.00000000000000000346944695195361,0,0,0,0.230487921863467,0,0,0,0,0
BSV,0,0,0,0.728347906963747,0,0,0,0,-0.00195956474736716,0,0.0169274341586832,0,0,0,0,0,0,0,0,0
LTC,0,0.0584524434434682,0,0.17274235382243,0.0214286779445685,0,0,0,-0.00176916328300865,0,0.0714306459847438,0,0,0,0.422560859666455,0,0,0,0,0
EOS,0,0,0,0.2046435313072,0.219052972185119,0,0,0,0,0,0.0953730463103761,0,0,0,0,0,0,0,0,0
BNB,0,0,0,0.16614100385764,0.125548240645994,0,0,0,0,0.0000218610776486997,0.198458845498291,0,0,0,0,0,0,0,0,0
INNBCL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAGZ5,0,0.275016948052434,0,0.0158260629687431,0,0,0,0,-0.00203659878198666,0,0.122476401348375,0,0,0,0,0,0,0,0,0
XTZ,0,0.555562944222247,0,0,0,0,0,0.0604428019479032,-0.0113959840285314,0,0,0,0,0,0.140439131771487,0,0,0,0,0
LEO,0,0,0,0,0.0795824327332286,-0.212732308261023,0,0.0700999947993904,-0.000388612450222202,-0.0283792763560163,0.0700023262610883,0,0,-0.0602371020545092,0,-0.0121050072350742,0,0,0,0
XMR,0,0,0,0,0,0,0.127852864813426,0,-0.00215830273618313,0.00293822970995774,0.20217318244861,0,0,0,0.273189501050686,0,0,0,0,0
XLM,0,0.20199163718627,0,0,0,0,0,0,0.00133906433810407,0.0867706971856753,0.200653036990728,0,0,0,0,0,0,0,0,0
ADA,0,0,0,0.153162307633574,0,0.20366539242462,0.0706033005721598,0,-0.00102839871492679,0,0.167673799987742,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0.00238438298114247,0,0,0,0,0,0,0,0,0,0,-0.130119085453407
CVIX.INDEX,0,0,0,0,0,0,0,0,-0.0000000597530117593468,0,0,0,0,0,0,0,0,0,0,0.143184829959331
DXY.INDEX,0,0,0,0,0,0,0,0,0.0000000184928622398519,0,0,0,0,0,0,0,0,0,0,-0.0140669054272047
SPX.INDEX,0,0,0,0,0,0,0,0,0.00000000394741478906372,0,0,0,0,0,0,0,0,0,0,-0.113447218681297
VIX.INDEX,0,0,0,-0.00000220212788057599,-0.000000759169529713698,0,0,0,0.00000000000000000000000165436122510606,0.0000072476289498216,0,0,0,0,0,-0.196768656509219,0.0396676741055971,0,-2.10659305468507,0
