,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,MIOTA,TRX,NEO,XMR,DASH,XEM,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.059645198680427,0,0,0.0707536416677089,0,0.00439784622648665,0,0.0161500878879111,0,0,0.15259851422003,0,0,0,0,0,0
ETH,0,0,0.0960090541337308,0.0447457329748481,0.0211024624062711,0,0.1322570412041,0,0.0684822669584038,0,0,0,0,0.0705430916029444,0,0,0,0,0,0
XRP,0,0,0,0.0527008221765204,0.0604280223937329,0,0.104968634990871,0,0,0,0,0,0,0.375222982481204,0,0,0,0,0,0
BCH,0,0,0.0886219187321981,0,-0.00000000000000000173472347597681,0,0.0800860971054112,0.0931915944442249,0.122109106900476,0,0,0.0910382408574814,0.147972423728881,0,0,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0,0.0763191143240063,0.381370366175154,0.0330051664287295,0,0,0,0.0179785090396974,0,0,0,0,0
LTC,0,0,0.134291485311717,0.195587456397941,0.0366121108815719,0,0,0,0.0138091652951701,0,0,0,0,0.114305227624155,0,0,0,0,0,0
ADA,0,0,0.10740975246762,0.0370607595086381,0.0832715356447079,0,0,0.291016275585013,0.0525911179424205,0,0.0384300966331717,0,0,0,0,0,0,0,0,0
XLM,0,0,0.0768689448311107,0,0.0928332001595372,0,0.302458085523005,0,0.0025412926480011,0,0,0,0,0.175020167591756,0,0,0,0,0,0
MIOTA,0,0,0,0.283747483918929,0,0,0.261011225599507,0,0,0,0,0,0.067934755202959,0,0,0,0,0,0,0
TRX,0,0,0,0.00790429659741598,0.191949459408594,0,0.0717326845428161,0.34809994111252,0,0,0.0591916011521546,0.115435498535247,0,0,0,0,0,0,0,0
NEO,0,0,0,0.0598307362501489,0.0650161719149923,0,0.0749651215071554,0,0.150837414597434,0,0,0,0,0.230165915828306,0,0,0,0,0,0
XMR,0,0,0,0.0684379165720389,0.0124919801101963,0,0.0159984271723292,0,0,0.0511737089395431,0,0,0.312376431077263,0.15452617505454,0,0,0,0,0,0
DASH,0,0.032133749962275,0,0.0577469283899805,0,0,0,0.0766365598570381,0.0393599910238287,0,0.0512969571209949,0.285339359124344,0,0.198136187862678,0,0,0,0,0,0
XEM,0,0,0.105158568804634,0.0466809143104231,0,0,0,0.20812682589534,0.198316703408461,0,0.0978441938531142,0,0,0,0,0,0,0,0,0
BNB,0,0,0,0.0701116955450962,0.018767831003475,0,0.122857849434153,0,0.103317053300716,0,0,0,0,0.0405366600689772,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0.00719154904248672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0781475985823974
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00336255446489804,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,-0.00000213877788057536,0,0,0,0,0,0,0,0,-0.0908609242050605
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
