,BTC,XRP,LTC,DOGE,XLM,DASH,XMR,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.137824640238126,0.0327042776369562,0.078828165978498,0,0,0,0.0226728534087734,0,0,0,0,-0.0194705381260437
XRP,0,0,0.0466014308135001,0,0,0,0,0,0,0,0,0,0,0
LTC,0.172171819387796,0,0,0.0719892686406256,0,0,0.00579615384374286,0.0854601540861186,0.172142821276993,0,0,0,0,0
DOGE,0,0.113504575602315,0.302900787133067,0,0.205313837673274,0,0,0.100107983895518,0,0,0,0,0,0
XLM,0,0.143233547266177,0.0902749190554063,0.230552346428946,0,0,0,0,0,0,0,0,0,0
DASH,0,0.0651854049543698,0.0469857996025057,0.0224054138783282,0.167926100927674,0,0,0,0,0,0,0,0,-0.050507459844573
XMR,0,0,0,0,0,0,0,0,0.407463262686596,0,-0.23602347442481,0,0,-0.101953595834459
XEM,0,-0.035657163469587,0.144594784360073,0.212503091343319,0,0,0,0,0,0,0,0,0,0.132244590614172
DGB,0,0,0.0800174545177587,0,0,0,0.0373473391433386,0,0,0,0,0,0,0.150111747180982
BV010082.INDEX,0,0,-0.0164433299184641,-0.00191994540069427,0,0,0,0,0.0133901055573112,0,0.205526030656702,0,0,-0.00951183580545245
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0321107377597433
DXY.INDEX,0,0,-0.0000000756191615515695,0.0000000357539673273695,0,0,-0.000000000000000000000000413590306276514,0.0000000123586871474325,0,0,0.120064582166914,0,0,-0.0154498522448486
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.066451698277612
VIX.INDEX,0,0,0.116021488309754,0.00000000000000000173472347597681,0,0,-0.215200107398328,0,0.268664065730526,0,0,0,0,0
