,BTC,ETH,ETC,XRP,LTC,DASH,XEM,DOGE,XMR,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.402834674399505,0,0.0484469586931625,0,0.00576015981509668,0,0,0,0,0,0,0
ETH,0.355420179098617,0,-0.0889687509308851,0,0,0,0,0.0000000000000000138777878078145,0,0,0.269758673027985,0,-0.0446705548937607,0,0,0.0211660726973466
ETC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0.547350231532456,0,0,0,0,0,0.00359718056506181,0,0,0,0,0,0,0,0,-0.00352843940320707
DASH,0,0.0755408034513483,-0.00661937700623015,0.0473317123587636,0,0,0,0,0,0.0459065405231393,0.0586775919520697,0,0,0,0,0
XEM,0.574951890293335,0.0265484950152964,-0.0348680018033241,0,0,0,0,0,0,0,0.0739754753047101,0,0,0,0,0
DOGE,0.235889467705851,0.0367572117572698,-0.0039870814265392,0,0,0,0.0665430078807477,0,0.0685483827443819,0.00923321419573534,0,0,0,0,0,0
XMR,0.599013324632976,0,-0.0141633081001837,0,0,0,-0.0318293043437613,0.106783665846505,0,-0.0576693656082631,0.0032044642001588,0,0,0,0,0
XLM,0,0,-0.00800836918565051,0,0.0599249086701614,0,0.176862095107908,0.0996462817425389,0,0,0,0,0,0,0,0
DGB,0,0.26079046098055,0.0103216279008384,0,0.16298397766756,0,0.125289115089208,0,0,-0.0828972892111051,0,0,0,0,0,0
BV010082.INDEX,0,0,0.0146082642521054,0,0,0,-0.00276353688646451,-0.000421166645419947,0,0,0,0,0,0,0,-0.0681122855718576
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12356685128657
DXY.INDEX,0,0,-0.000000259342232735155,0,0,0,0,0,-0.000000877725823009976,0,0.00000000000000000000000330872245021211,0,0.0311463970755574,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0441398606336806
VIX.INDEX,0,0,0.0000569053758771973,0,0,0,0.0000154995951959275,0,0,0,0,0,0.405893159726654,0,0,0
