,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,TRX,MIOTA,DASH,BNB,NEO,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0274274914837514,0,0.0466298170714583,0.0744672020427161,0,0,0,0.0217591032433437,0,0.086733170266028,0,0,0,0,0,0,0,0,0
ETH,0,0,0.129465870842803,0.195999558472489,0,0,0,0.035589089628143,0,0.229445180327402,0.0344795918684364,0,0,0,0,0,0,0,0,0
XRP,0,0.177149997692353,0,0,0,0,0,0.226017387064132,0,0,0.151283934979035,0,0,0,0,0,0,0,0,0
BCH,0,0.305955074470194,0.0651302217144892,0,0.121059608581226,0,0,0,0,0.107760199368208,0,0.0510572427751012,0,0.0267568456143398,0,0,0,0,0,0
EOS,0,0.264750949998891,0.0853145034682746,0,0,0,0,0.0790013048640786,0,0,0.116936265238327,0.0464193050094951,0,0,0,0,0,0,0,0
XLM,0,0,0.169706487780132,0,0,0,0,0.327987084368901,0,0.0514991085872925,0,0,0,0.0600713448835926,0,0,0,0,0,0
LTC,0,0.157003666110876,0.0407933750934753,0.0280196297597116,0,0,0,0.108258922216319,0,0,0.0545617886689888,0.000000000000000000867361737988404,0,0,0,0,0,0,0,0
ADA,0,0.111226669864158,0.140308460645043,0,0.0232646301390818,0,0,0,0,0.223627531551804,0,0,0,0.195148042475182,0,0,0,0,0,0
XMR,0,0.289199363928623,0.0887231817462246,0.0198255971286611,0,0,0,0,0,0,0.0790940815907932,0,0,0.0887552331664931,0,0,0,0,0,0
TRX,0,0.113068353642861,0,0.0338331733463239,0,0,0,0.352373417501979,0,0,0.269590468596578,0,0,0,0,0,0,0,0,0
MIOTA,0,0,0.074575068407401,0,0,0,0,0,0,0.115517687783217,0,0,0,0.510942918498332,0,0,0,0,0,0
DASH,0,0,0.111413052052988,0,0.0295824574165284,0,0,0.00704488100464388,0,-0.000000000000000000216840434497101,0.0787536245393442,0,0,0.072010057065778,0,0,0,0,0,0
BNB,0,0.0867857987643839,0.0180249947368066,0,0,0,0,0,0,0.122574781349411,0,0,0,0.0533830570091734,0,0,0,0,0,0
NEO,0,0.0587697177932851,0.0262269808428081,0,0.0434290633982214,0,0,0.144947007495231,0,0.00166665481513518,0.347442019385019,0,0,0,0,0,0,0,0,0
ETC,0,0.256025835205758,0.0523676047624224,0,0,0,0,0,0,0,0.0219347974246105,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0158167407290151
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,-0.00438772846325392,0,0,0,0,0,0,0,0,0.000823624887424812,0.0000652253019058961,0,0,0,0.0335275197466492,0,0,-0.00382587983021754
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0.0000000875330340086209,0,0,0,0,0,0,0,0,-0.0543433536375232
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
