,BTC,ETH,BCH,XRP,DASH,LTC,XEM,MIOTA,XMR,ETC,NEO,ZEC,BAT,EOS,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0.0853316359172489,0.112476912776615,0.0960739485067114,0,0.011346668541383,0.00791134159033253,0,0.0885955632025758,0,0,0,0,0,0,0
ETH,0,0,0,0,0,0.0659669866099525,0.0209182105873196,0.106034910787024,0,-0.00000000000000000173472347597681,0,0,0.0329161426599378,0,0.0410316037711201,0,0,0,0,0
BCH,0,0,0,0,0,0,0.482163630169638,0,0,0.233331928082712,0,0,0,0,-0.00000000000000000693889390390723,0,0,0,0,0
XRP,0,0.199383493441808,-0.000000000000000000216840434497101,0,0,0,0,0,0,0,0.00958169615561885,0,0,0,0.249441026266766,0,0,0,0,0
DASH,0,0,0.000667494467292458,0,0,0,0.0414422686607793,0.0209523192951477,0,0,0,0.16980635727039,0.0854923231441428,0,0,0,0,0,0,0
LTC,0,0,0,0,0,0,0,0,0,0.627912153632487,0,0,0,0,0.0539528586475246,0,0,0,0,0
XEM,0,0.219872388319935,0.0847966060923984,0,0,0,0,0.0563251785085952,0,0,0,0,0.138755597839282,0,0.133941505122421,0,0,0,0,0
MIOTA,0,0.435958974822254,0,0,0.116990451847179,0,0.0192579999252348,0,0,0,0.101377715335867,0.161940465391934,0,0,0,0,0,0,0,0.0272527811206398
XMR,0,0,0,0,0,0,0,0,0,0,0,0.0744761647473795,0,0.0134238244917432,0.266553856140741,0,0,0,0,0
ETC,0,0,0,0,0,0.358263697980589,0,0,-0.00000000000000000010842021724855,0,0,0.00700703465622659,0.0494634417146695,0.0537627701408766,0.0957641299847999,0,0,0,0,0
NEO,0,0,0.0372704841308564,0,0,0,0.364800903695669,0,0,0,0,0,0.120947641217754,0.406964623049039,0,0,0,0,0,-0.0776918363234764
ZEC,0,0.0681000951551898,0,0,0.15864912537427,0,0.107054272680569,0,0.163070499371076,0,0,0,0.0108641313365199,0.0429637749643016,0.107918805620938,0,0,0,0,0
BAT,0,0,0,0,0,0.213977001283429,0,0,0,0.00131503081987819,0.275518147393623,0,0,0.0326535307866533,0.219465360630836,0,0,0,0,0
EOS,0,0,0,0,0,0.0391462301171999,0.080885362889118,0,0.00442309704065762,0,0.0487854782418422,0,0.048674600584217,0,0.155817616520915,0,0,0,0,0
XLM,0,0,0,0.194137906920617,0,0,0,0,0.251789511978791,0.21940502319479,0,0.190490269043416,0.104684496264047,0,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.00970422619771911,0,0,0,0,0,0,0,0.0119799718036821,0,0,0,-0.0124801671479838,0,0,0,0,-0.0334284841943142
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0132512945084828
DXY.INDEX,0,0,0,0,-0.00232236101452029,0,0,0,0,0,0,0,-0.00437749219020417,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,-0.000000191267643929609,0,0,0,0,0,0,0,0,0,0,-0.0397021161782025
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
