,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,ADA,XTZ,TRX,XLM,XMR,ETC,LINK,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.127439686547566,0.0244567476306749,0.0971132203902109,0,0,0.00605960379000387,0,0.0840802846600174,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0.117462730560848,0.00972617281494012,0.00891722969173908,0.108326848628556,0.0826104103226976,0.0716274865857855,0,0.162275917534218,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0.0757664825398219,0.033898391756623,0.0900975812969196,0,0,0.00474929142470604,0,0.219172012478605,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0.253344005978756,0.17808272649327,0,0,0,0,0,0,0,0.0848603550150782,0,0,0,0,0,0
BSV,0,0,0,0.510096940209025,0,0,0.236341299586267,0,0,0,0,0,0,0.0213746583169374,0,0,0,0,0,0
LTC,0,0,0,0.275453748419827,0.0352235111979426,0,0.228096083459758,0.0275455947842765,0.0214548860087075,0,0,0,0,0.0157723678629507,0,0,0,0,0,0
EOS,0,0,0,0.167113511055371,0.117454501344006,0.0337323336523998,0,0,0.0786887624540598,0,0,0,0,0,0,0,0,0,0,0
BNB,0,0,0,0.134275647049447,0.0176665976827607,0.0729615795488749,0.0534418708746702,0,0,0,0.111525532938838,0,0,0,0,0,0,0,0,0
ADA,0,0,0,0.0687668215019172,0.00962247242394422,0.234270454964937,0,0,0,0,0.191887286282261,0,0,0.139313022407403,0.00692517431527354,0,0,0,0,0
XTZ,0,0.118598701253794,0.142759241122837,0.00000000000000000010842021724855,0,0,0,0,0.0282368732246216,0,0,0,0.113900268973102,0,0.0616142791803186,0,0,0,0,-0.0517344848274267
TRX,0,0,0,0.178287138991009,0.0341831265394067,0,0.000996248342845349,0,0.142234205060366,0,0,0,0,0,0,0,0,0,0,0
XLM,0,0.11654499420485,0.308071621850992,0.051102845352928,0,0,0,0.0400314452337809,0,0,0,0,0,0,0.0517636393689386,0,0,0,0,-0.000000000000000000433680868994202
XMR,0,0,0,0.0851112069067637,0,0.0862100583863961,0,0.0186556510212133,0.139731559438832,0,0,0,0,0.11516606412931,0,0,0,0,0,0
ETC,0,0,0,0.331695717659521,0.0749457361040065,0,0,0,0.458077937493982,-0.0216926933907889,0,0,0,0,0,0,0,0,0,0.0130358637102106
LINK,0,0.155761298822232,0,0.0382892483095544,0,0.218159161276243,0,0,0,0,0.0877854583440106,0.0847433723142728,0,0.0408072786445436,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,-0.00371737811152078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0727762664686225
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0.00431368656695808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0641847797115393
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
