,BTC,XRP,ETH,XEM,LTC,DASH,ETC,XLM,XMR,DOGE,ZEC,DGB,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0.44109267973335,0,0,0,0,0,0,0,0,0,0
ETH,0,-0.027542492931424,0,0,0.0340669484688562,0,0.0275118925801768,0,0.21002663671393,0,0,0,0,0,0,0,0,0
XEM,0,-0.0816934066281167,0,0,-0.125436354041685,0,0,0,0.381535681342078,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0,0,0,0,0.0453868238449,0,0.160625390580881,0,-0.079841153595314,0,0,0,0,0,0
DASH,0,-0.0748364621204023,0,0,0.0011510532962315,0,0,0.0360026619161776,0.235977275822438,0,0.159701276179943,-0.0274216966446438,0,0,0,0,0,0.00957551006431839
ETC,0,0,0.385885866988024,0.0648452495043459,0.070608449875256,0,0,-0.0326285373721102,0,0,0.0345756915409202,0,0,0,0,0,0,0
XLM,0,0.443292325679849,0,0,0,0,0,0,0,0,0,0.00296014815644267,0,0,0,0,0,0
XMR,0,0,0.204144691024481,0.125588908704382,0.0126849454794496,0,0,0.00994562206516717,0,0,0,0,0.0483235796407198,0,0,0,0,0
DOGE,0,0.134265632280642,0.116889571958499,0,0.0910428052338561,0,0.0270758314133159,0.140125422707681,0,0,0.0554483308453623,0,0.0102575018814378,0,0,0,0,0
ZEC,0,0,0,0.0449292478149511,0,0.0919665325722038,0,0.00646826474911907,0,0.0589850468303791,0,0,0.168426156302759,0,0,0,0,-0.031933679073537
DGB,0,-0.286802534531767,0,0.0869681497499066,-0.174565396885409,0,-0.132653925073237,0.35688777601441,0,0.363777240339943,0,0,0,0,0,0,0,-0.514302382657726
NEO,0,-0.0104034043401749,0,0,-0.0508735105469013,0,0,-0.0105951013925549,0,0.0755789462720288,0.259476784515825,0,0,0,0.0258361444158778,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0.015329118938069,0,0,0,-0.0000000000000000000542101086242752,0,0,0,0,0,-0.0780447143460161
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0.000506164274512569,0,0,0,0.00133918216769331,-0.000392617227616662,0,0,0,0,-0.0153019395140305
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
