,BTC,ETH,XRP,BCH,ADA,LTC,NEO,XEM,XLM,MIOTA,EOS,DASH,XMR,TRX,BTG,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0,0,0,0,0.0410016330119311,0,0,0,0.0240665698055067,0,0,0,0,0,0
ETH,0,0,0.028768856802007,0.0859339959330562,0,0.181894779057117,0.0458414851422263,0,0,0,0.00106406392176854,0,0,0.0301695264847374,0.0443087874241042,0,0,0,0,0
XRP,0,0,0,0,0.174680613065713,0,0,0.108111879127173,0,0,0,0,0,0.0358472025776106,0,0,0,0,0,0
BCH,0,0,0.0461116733119122,0,0,0.0794767135059929,0.146874373861188,0.0765621437279283,0,0,0.0910955986896742,0.14920096515602,0,0,0.130900148104429,0,0,0,0,0
ADA,0,0,0.161536275102141,0,0,0,0,0.0601469316204344,0.462103998129825,0.0227032050613566,0,0,0,0,0,0,0,0,0,0
LTC,0.134372621924469,0.0531338441424116,0,0,0,0,0,0.239110490372547,0,0.0604389691343266,0,0.133189386395545,0,0,0,0,0,0,0,0
NEO,0,0.0392842470840664,0.0501799333190478,0.112544178341557,0,0,0,0.00917474832602171,0.166312040185435,0,0,0,0.110868221746554,0,0,0,0,0,0,0
XEM,0,0,0.123840720942276,0,0.0166722105191676,0.0420776938854236,0,0,0.292036302069951,0,0,0,0,0,0.0845560346040336,0,0,0,0,0
XLM,0,0,0.109552317269825,0,0.302029369058178,0,0,0,0,0.177704589487685,0.0228313296274028,0,0.12139884507636,0,0,0,0,0,0,0
MIOTA,0.0366913954261052,0,0,0,0.10191166864737,0.157313775864693,0,0.141790249891091,0.171418971270739,0,0.0209483167213658,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0.0554548175653961,0,0,0,0.0489347502982767,0.144572350216307,0.0802408063867846,0,0,0,0.0586221799956602,0.0686036948647835,0,0,0,0,0
DASH,0,0,0,0.0840405463316649,0.0223516464168873,0.138337323755526,0.0409562649854991,0.00222559501068992,0,0,0,0,0.0385684045691052,0.0904777503288386,0.0926287150704464,0,0,0,0,0
XMR,0,0,0,0,0,0,0.0726114077211073,0,0.14088300532903,0.0500909355841499,0.0294770779112737,0.241724164879124,0,0,0.031487221725129,0,0,0,0,0
TRX,0.250404817433877,0,0,0.198714950706782,0.134226910677435,0.126899079382226,0,0,0,0,0,0.0853106818395834,0,0,0,0,0,0,0,0
BTG,0,0,0.0179793631676037,0.417630509552134,0,0,0,0.00207111985818276,0,0.0239637217550112,0.0423939078309068,0.0446458059152052,0.145595068935115,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0.00555698391085115,0,0,0.00284946757344254,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,-0.00265384624664967,0,0,0,0,0,0,0,0,0,0,0.00250434091486922,0,0,0,0,0,0
SPX.INDEX,0,0,0,0.00000000279710468617337,0,0,0.00000000718321558709366,0,0,-0.0000000118632262169117,0.0000000115131119754208,0,0,-0.0000000000000000000000000516987882845642,0,0,0,0,0,-0.0159733874798195
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
