,BTC,ETH,XRP,BCH,LTC,ADA,NEO,XLM,XMR,EOS,MIOTA,DASH,XEM,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0378879100517093,0.151974638980406,0.0868635651405811,0,0,0,0.113229728840561,0,0,0,0,0.0536930952340182,0,0,0,0,0,0
ETH,0,0,0,0,0.0955871360492901,0,0.0849034623533459,0,0,0.0795447623027496,0,0,0.138272213861297,0.032634560517195,0.050324082870583,0,0,0,0,0
XRP,0,0,0,0,0,0.0154708484633662,0,0.2206275758236,0,0,0.014271634588446,0,0.114900570265341,0.126109484823865,0,0,0,0,0,0
BCH,0,0,0,0,0.166013661821198,0,0,0,0.0354180814230499,0.128070114929471,0,0.0457177064705858,0,0,0.0206494575438593,0,0,0,0,0
LTC,0,0,0.0407535461171612,0.17267718820884,0,0,0,0,0.0808595702951559,0.0679644820130589,0,0,0,0,0.107793987176543,0,0,0,0,0
ADA,0,0,0.0351261556852754,0,0,0,0,0.250788997442653,0.060098812744259,0.0527834956567328,0,0,0.0869723293540523,0.0882740062493498,0,0,0,0,0,0
NEO,0,0.0331036021540237,0,0,0,0.115614743629501,0,0.092115252585438,0.121783376019853,0,0.0234157285787087,0,0.163026951460011,0,0.0394792818951059,0,0,0,0,0
XLM,0,0,0.199853818366703,0,0,0.324956245752824,0,0,0,0.00739173589424125,0,0,0.159330428687211,0,0.0281592703094584,0,0,0,0,0
XMR,0,0,0,0,0,0.148796167452187,0.176140271171742,0,0,0.0274121817827944,0,0.229525887510065,0.0203053553608048,0,0,0,0,0,0,0
EOS,0,0,0.121051712503778,0,0,0,0,0.10084867092687,0.185580291184376,0,0,0,0.00670788219023823,0.0566383098871031,0.212999471411941,0,0,0,0,0
MIOTA,0,0,0,0.0244984052474003,0.0437096131604486,0,0,0,0.187166629439807,0,0,0,0.0578977252333832,0.0270878539467457,0.370272050115838,0,0,0,0,0
DASH,0,0,0.0969020436359711,0.132765032312298,0.0516344701152161,0,0,0,0.300864439797131,0.0483959392659872,0,0,0,0.0863473111233513,0,0,0,0,0,0
XEM,0,0,0,0,0,0.177076548243212,0.0840679002643308,0.0661025961458589,0.145714021821041,0.181520894613983,0,0,0,0.0472438395650994,0,0,0,0,0,0
TRX,0,0,0.485986213523899,0.128779811518875,0,0,0,0.0613986640466022,0,0.0229465528687087,0,0,0.131558576534045,0,0.133397107521911,0,0,0,0,0
ETC,0,0,0.151266417180392,0.0596586324928135,0,0,0.289578445748262,0,0,0.224297175575746,0,0,0,0.0597461392916243,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0.00774179730548249,0,0,0,0,0,0.0131716027275107,0,0,0,0.00165426702789277,0,0,0,0,0,-0.0274404745619539
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,-0.0000000630005347658958,0,0,0,0,0,0,0,0,0,0,0,0.00522856704817274
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0544651258057058
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
