,BTC,XRP,LTC,XLM,DOGE,DASH,XMR,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.032632380437408,0.0984454587418838,0.00603689228354471,0.243059003793067,0.252306054948397,0.0503855352680831,0,0,0,0,0,0
XRP,0.129392708977827,0,0,0.257983653860411,0,0.0946494616008341,0,0,0,0,0,0,0.0575938703707608
LTC,0.430139878075421,0,0,0,0.0235127087386549,0.0567776297583079,0.0258634925125992,0.021957281960635,0,0,0,0,0
XLM,0,0.556949675238024,0,0,0,0,0,0.0740856193446938,0,0,0,0,-0.0285454533497186
DOGE,0.438740449781513,0,0.101302029613239,0,0,0.172063277314821,0,0,0,0,0,0,0
DASH,0.64679886057274,0,0.0952853627745864,0,0,0,0,0.00272695928180178,0,0,0,0,0
XMR,0.496352138892982,0.046073421456174,0.106458901760901,-0.0620232563259877,0,0.210453870785316,0,-0.0149770570908197,0,0,0,0,0
DGB,0.604603144917611,0,0,0,0,0,0,0,0,0.241328838346762,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,-0.0400646001847348
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,-0.000388314714509774,0,-0.000103576969128229,0,0,0.0000000000000000000000529395592033938,0,0.0000679885834547892,0,0.0112980693864369,0,0,-0.0171486920896192
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,-0.0735605339763589
VIX.INDEX,0,0.000000167428331439784,0,-0.0000000996165214522788,0,0,-0.0000000524738285816263,0.0000000601726678403891,0,0,0,-2.8563738010217,0
