,BTC,XRP,LTC,ETH,DASH,DOGE,XLM,XMR,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0875604610798145,0.0336173558110075,0.0190390233743057,0.0467589778252447,0,0.135393588264496,0,0,0,0,0,0,0
XRP,0,0,0.0167078477377292,-0.0411777047501986,-0.0117052221837438,0,0,-0.0176835047594084,0.079717006387621,0.0754134975576105,0.200454280128084,0,0,0,-0.0252954882126713
LTC,0,0,0,0.0476286045842417,0,0.33381247947323,0,0.0480513376991783,0.0142908767813811,0,0,0,0,0,0
ETH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DASH,0,0,0.0417528334320892,0.0279447102295417,0,0.163892731216235,0.0640210836138787,0,0,0,0,0,0,0,0
DOGE,0,0,0.126168636705569,0.0141251751019694,0.424063035357783,0,0.014964727266966,0,0,0,0,0,0,0,0
XLM,0,0,0,-0.0194478577994048,0,0.164217235100151,0,0.0406563670804911,0,0.151439131775626,0,0,0,0,-0.0400916663555143
XMR,1.03004740694683,0,0,0.0149083811707369,0,0,0,0,0,0,0,0,0,0,0
XEM,0.0632638196675225,0.751700613061956,-0.0661883586925168,0.0646663970022345,0,0,0,0.13636939936264,0,0,0,0,0,0,0
DGB,0.829452739013555,0,0.0437263423281049,0.00704217964044207,0,0,0,0,0.110153408879718,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.0159196291350101,-0.00333326810439358,0,0,0,0,0.0183506577389326,0,0,0,0,0,-0.0509542940117154
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0546401248792278
DXY.INDEX,0,0,0,0.0000000477700222389714,0,0,0,0,0,0,0,0,0,0,-0.0266812408309695
SPX.INDEX,0,0,0,0.00000153538503110543,0,0,0,0,0,0,0,0,0,0,-0.0811028846271336
VIX.INDEX,0,0,0.0000086867603448855,0.0000325482272023913,0,0,-0.0000310228582831548,0,0,-0.000000262280181237112,0,0,0,-6.24280808729782,0
