,BTC,XRP,LTC,DASH,DOGE,XLM,XMR,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0970538417573419,0.045090479328109,0.554899799785454,0.0568764973592504,0.0290394128267215,0,0,0,0,0,0
XRP,0.299700605772368,0,0,0,0,0.107049969059661,0,0.044840310526944,0,0,0,0,0
LTC,0.499168075779838,0,0,0,0,0,0.0383788104254648,0.00173922959872615,0,0,0,0,0
DASH,0.652907503179788,0,0.125681174316086,0,0,0,0,0,0,0,0,0,0
DOGE,0.509288498631963,0,0.111803517332894,0.041181305623422,0,0,0,0.0119172317563753,0,0,0,0,0
XLM,0.346554248570666,0.306674917977599,0,0,0,0,0,0,0,0,0,0,0
XMR,0.968184815836068,0,0,0,0.153570083863985,-0.184435538885458,0,0.00962418296985066,0,0,0,0,0.0705946766811512
DGB,0.65945635829291,0,0.0607590902507601,0,0,0,0,0,0,0.218249358612037,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,-0.0284327218295594
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,-0.000000379791964758453,0,0,0,0,0,-0.0792632030572367
VIX.INDEX,0,0,0,0.0000000352542126269706,0,0,-0.000000104229511768167,0.0000000109257657933326,0,0.000000256318718741434,0,-4.46587905105714,0
