,BTC,XRP,LTC,ETH,DASH,DOGE,XLM,XMR,DGB,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.174322429364448,0,0.0273971315785248,0,0,0.156814545473328,0.0117903684828524,0,0,0,0,0,-0.0122205024858745
XRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0.381718766758948,0,0,0,0,0.0442119648324482,0,0.0263188262314081,-0.0117795845408305,0,0,0,0,0,-0.0208401621814619
ETH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DASH,0.428697794977248,0.0174427508411832,0.0537401220311945,-0.000000000000000000433680868994202,0,0.0421017351770458,0.0490354328302691,0,-0.00480184828018429,0,0,0,0,0,-0.0033547700518248
DOGE,0,0.0977132771859267,0.185718452093841,0.0137355526234125,0,0,0,0.172108615575963,-0.000576149521585284,-0.00174376845051914,0,0,0,0,-0.0097591722262206
XLM,0,0.0895721903110359,0.206065103250229,0,0,0,0,0.0162475444772224,0,0.0339999418060977,0,0,0,0,0
XMR,0.839337847198863,0,0,0,0,0.105219054150704,0.0579655028094074,0,0,-0.0349654865641463,0,-0.0446981788451323,0,0,0
DGB,0,0,0.617837952935603,0,0,0,0.191873255823953,0,0,0,0,0,0,0,-0.103986630548651
XEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0133446988847738
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0331109803946842
DXY.INDEX,0,0,0,0,0,0,0,0,0,0.00000333110003179891,0,0,0,0,-0.0155882465577703
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0772035774775155
VIX.INDEX,0,0,0,0,-0.00000389866717095028,0,0,0,0.000000290867420586919,0,0,0,0,-3.22298183638737,0
