,BTC,ETH,XRP,LTC,XEM,DASH,DOGE,XMR,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.47630241630275,0.0375205371407472,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0.0583880226636757,0,0.178626839869371,0,0,0.144465026505371,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0.613602800921906,0,0,0,0.00428973786019841,0,0,0.00665668244349572,0,0,0,0,0,0,-0.000000000000000000433680868994202
XEM,0.453931250820641,0,0,0,0,0,0,0,0.7012381184884,0.126108604247546,0,0,0,0,0
DASH,0,0.0607886221709551,0,0,0,0,0,0,0,0.0647552952160002,0,0,0,0,0
DOGE,0.303872158245711,0,0,0,0.00518631260221036,0,0,0,0,0,0,0,0,0,0.0359687505032976
XMR,0.584068733648579,0,0,0,-0.0155064103530174,0.0605162243997877,0,0,-0.0767713033109504,0.0220657791100062,0,0,0,0,-0.0622586817317668
XLM,0.126836205615633,0,0,0.00000000000000000346944695195361,0.183528453516499,0,0.0746851463629028,0,0,0,0,0,0,0,0.0196072699475903
DGB,0,0.149546557620898,0,0,0.074263542296413,0.21541314284477,0,0,-0.0123549795299232,0,0,0,0,0,-0.00459119689618615
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0753867863417872
CVIX.INDEX,0,-0.0134494460787882,0,0,0.00123301803110222,0,0,0,0,-0.0099112123224924,0,0,0,0,0.264920383849147
DXY.INDEX,0,0,0,0,0.000000127209191783094,0,0,0,0,0,0,0.0381047570595991,0,0,0
SPX.INDEX,0,0,0,0,-0.00000136219478910342,0,0,0,0,0,0,0,0,0,-0.0648323084101531
VIX.INDEX,0,0,0,0,0.00000161548019016983,0,0,0,0,0,0,0.4060836786647,0,0,0
