,BTC,ETH,BCH,MIOTA,XRP,LTC,DASH,BTG,XMR,XEM,ADA,ETC,XLM,NEO,EOS,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.170296697785375,0,0,0,-0.0655806835833439,0.0277189119535907,0,-0.0878312271664987,0.0435267761820638,0,-0.00152978894990333,0,0.100103207715066,0,0,0,0,0
ETH,0,0,0,0.00276812784950749,0.00337749520327248,0.029002911966373,0.0634071005445144,-0.0150850182246405,0,0.0119323324512784,0.0369708667014726,0.183999322404657,0,0.0282399773586929,0.0191431157350041,0,0,0,0,0
BCH,0,0,0,0,0,0,0.128277760113423,0.11650018540456,0,0.0757062520717256,-0.0321364596200037,0,-0.0201786589662292,0.264295278627638,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0,0,0.169930245474407,0.175109931489475,0,0.0914753846870566,0,0,0,0,0,0,0
XRP,0,0,0,0,0,0,0,-0.0151812177968155,0,0.0792339977562132,0.0767202315700224,0.0666083851058303,0.0204794006637613,0,0,0,0,0,0,0
LTC,0.080362554074084,0,0,0,0.0828280552273985,0,0,-0.00475635388439904,0,0.165397604187702,0.0434892188301845,0.0940385990968438,0,0,0.017146225343271,0,0,0,0,0
DASH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0585788350280137,0,0,0,0,0,0
BTG,0,0,0.294690474557465,0,0,0,0,0,0,0.00846342964012873,0,0,-0.000000000000000000216840434497101,0,0,0,0,0,0,0
XMR,0,0,0,0.086317823716281,0,0,0.154550501007693,0,0,0,0.135637644167429,0.0231839728999161,0.0210675077999117,0.055533399362653,0,0,0,0,0,0
XEM,0,0,0,0.115709472782467,0,0,0,0,0.0234070220619978,0,0.0712648984022449,0.085963605814039,0.0232746316356765,0,0,0,0,0,0,0
ADA,0,0,-0.0905962149060586,0.0645667284827518,0,0.242163607942049,0,0,0.0657676948158195,0.00350250618685021,0,0.259320814576964,0,0,0,0,0,0,0,0
ETC,0,0,0.120340638741484,0,0,0,0,0,0,0.0876884221498123,0.2033352453382,0,0,0,0,0,0,0,0,0
XLM,0,0,0,0.174663279270872,0,0,0,-0.0222401394676347,0.0602787072961367,0,0.280907774829817,0,0,0,0.157492356178255,0,0,0,0,0
NEO,0,0,0,0.0716022306770128,0,0,0,0,0,0.0273737401013605,0,0,0.0404509325323453,0,0,0,0,0,0,0
EOS,0.206329085288204,0,0.13555746278555,0.216767204439892,0.184830624979448,0,0,-0.000000000000000000867361737988404,0,0,0,0.0909108263794724,0,0.104655306718195,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,-0.0011381086446288,-0.00653935196806442,0,0.0154084451496431,0,0.0203441343050069,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,-0.00000000265549229739995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0123792094217313
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
