,BTC,ETH,XRP,BCH,LTC,ADA,NEO,XLM,EOS,MIOTA,DASH,XMR,XEM,ETC,TRX,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.169101480089653,0.0798822243632017,0,0,0,0,0,0,0.111608668663778,0.0406818934821799,0.018927867473772,0.0635830112918249,0,0,0,0,0
ETH,0,0,0,0,0.138518197004024,0,0.0634454108512701,0,0,0,0,0.0361343982060211,0.158584582821092,0.0650602250513867,0.0460218341136497,0,0,0,0,0
XRP,0,0,0,0,0,0.0519867417120177,0,0.292751816058701,0,0,0,0,0.141307456276062,0,0.147657913034167,0,0,0,0,0
BCH,0,0,0,0,0.348185394142011,0,0,0,0.0426721453192315,0,0,0.0184947353933531,0.0217622699139291,0.132156854510661,0,0,0,0,0,0
LTC,0.14680275427592,0,0,0.235304670787989,0,0,0,0,0.0634675147820381,0,0,0,0,0.140073890767553,0,0,0,0,0,0
ADA,0,0,0.173621786796579,0,0,0,0,0.190883929965851,0,0,0,0,0.0334921203723378,0,0.097682199728801,0,0,0,0,0
NEO,0,0.072576299032327,0,0,0,0.0403183397535295,0,0.202634796346918,0,0,0,0.0699348807066665,0.0890709308520114,0.027390184303391,0,0,0,0,0,0
XLM,0,0,0.208761914376251,0,0,0.32418836475092,0,0,0.0114106192568378,0,0,0,0.153881458205873,0.0543852267456683,0,0,0,0,0,0
EOS,0,0,0.0283744791866245,0,0,0,0,-0.00000000000000000346944695195361,0,0,0,0.217454289458653,0.0126470706856917,0.255999448578129,0.111752551603382,0,0,0,0,0
MIOTA,0,0,0,0.107607303467897,0.233499797758633,0,0,0,0,0,0,0.0593233781083603,0.0361050611479374,0.150521660303259,0.108018041427296,0,0,0,0,0
DASH,0,0,0,0.201366220345913,0,0,0,0,0,0,0,0.17439301904938,0,0,0.115377383142735,0,0,0,0,0
XMR,0,0,0,0,0,0,0.146228056992726,0.00514976954926355,0.0542115418489185,0,0.241388750139152,0,0.138389898065133,0.0351991597006865,0,0,0,0,0,0
XEM,0,0,0.0747815054788118,0,0,0.111237120583558,0.0191718237700861,0.316219040491282,0.0342120868572732,0,0,0.0254262913020474,0,0,0,0,0,0,0,0
ETC,0,0.167833592696804,0.0036709186470891,0.196854908646476,0,0,0.089062214107229,0,0.262427382624073,-0.00000000000000000693889390390723,0,0.0540389943660139,0,0,0.0474891641223187,0,0,0,0,0
TRX,0,0,0.436369797706995,0,0,0,0,0.0354455905932367,0.100135954644001,0,0,0,0.152131341649386,0.0832823251605094,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.00280893532428525,0.0141719494151108,0,0,0,0,0.0075060279092767,0,0,0,0,0,0,0,0,0,0,-0.0461318876751726
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0.00000000566192539658148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0544651239245353
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
