,BTC,ETH,XRP,BCH,EOS,LTC,XLM,TRX,BSV,ADA,MIOTA,XMR,BNB,DASH,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.110040430183808,0,0,0,0,0.00352558096446881,0,0,0.10192129051241,0,0.101473880177225,0.0494945016729817,0,0,0,0,0
ETH,0,0,0,0.178977972364386,0,0,0,0,0,0,0.0151914863314181,0.0313690609408269,0,0.0789649872768092,0.364562667495196,0,0,0,0,0
XRP,0,0,0,0.0783198896823743,0.063481149036679,0,0.0965917713846556,0,0,0.0766969914913079,0.055302881343728,0,0,0,0.0692655976741945,0,0,0,0,0
BCH,0,0.230025482014362,0,0,0.259624137518011,0.0877792421301133,0,0,0.0422852022631977,0.133813883843182,0,0,0,0,0,0,0,0,0,0
EOS,0,0.18811635837933,0,0.0143053243542093,0,0.12663690709414,0,0,0,0.0897024597697692,0,0,0,0.105832709168725,0.188698479073946,0,0,0,0,0
LTC,0,0.0324661681926446,0,0.0614094914851631,0.121958703509095,0,0,0,0,0.0305991481567466,0,0,0,0,0.442562896838454,0,0,0,0,0
XLM,0,0,0,0.101726427623625,0.210167174780267,0,0,0,0,0,0,0.0759875061535406,0,0.0503902031481768,0.22835758676905,0,0,0,0,0
TRX,0,0,0,0.201915018889699,0,0,0,0,0,0,0,0,0,0,0.221262810064354,0,0,0,0,0
BSV,0,0,0,0.635360728855781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADA,0,0.121719675771444,0,0.180004025258238,0.00864378350130507,0.0406804140664893,0,0,0,0,0.00654194477096191,0,0,0,0.37894273364968,0,0,0,0,0
MIOTA,0,0.0676106670458595,0,0.247241501785138,0.0873149558449619,0,0,0,0.0170981138535803,0,0,0,0,0.2389545031208,0.00000000000000000693889390390723,0,0,0,0,0
XMR,0,0,0,0.0807648724124592,0,0,0,0,0,0,0,0,0,0.266013383942113,0.250598523657277,0,0,0,0,0
BNB,0,0,0,0,0.0425498039596545,0,0,0,0,0,0.0574439532051981,0,0,0,0.509902311520065,0,0,0,0,0
DASH,0,0.0684138852582812,0,0,0.158817052801043,0,0,0,0.00575218771701021,0,0,0.175920645205913,0,0,0.150617045948152,0,0,0,0,0
NEO,0,0.241340751741734,0,0,0.0805918264054383,0.109121914928274,0,0,0,0.162291156680981,0,0.0762668477428803,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,-0.00268792887325862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.060423030332625
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0.000000406778157026096,0,0,0,0,0,0,0,0,0,0,-0.118729497045529
VIX.INDEX,0,0,0,0,0,0,0,0.0000806066238784234,0.00000455283801508369,0,0,-0.000037089301806024,0,0,-0.00000626090248775442,0,0,0,-2.56955001774367,0
