,BTC,ETH,BCH,XRP,LTC,DASH,XEM,MIOTA,XMR,ETC,NEO,ZEC,BAT,EOS,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.0912044785364485,0,0.112014394111888,0.0969820239742368,0,0,0.0101846959084373,0,0.0872736596287092,0,0,0,0,0,0,0
ETH,0,0,0,0,0.0608601252006118,0,0.0347659452951424,0.106999570808812,0,0.00560211160040675,0,0,0.0239373073677774,0,0.0231098911907833,0,0,0,0,0
BCH,0,0,0,0,0,0,0.475811200110213,0,0,0.223717190903123,0,0,0,0,0,0,0,0,0,0
XRP,0,0.087444021039491,0,0,0,0,0,0,0,0,0.00331468930582749,0,0,0,0.30945926291916,0,0,0,0,0
LTC,0,0,0,0,0,0,0,0,0,0.632150936730952,0,0,0,0,-0.00000000000000000693889390390723,0,0,0,0,0
DASH,0,0,0.00658255141457703,0,0,0,0.0575058020219593,0.0414691305283663,0,0,0,0.161734533437522,0.0881940547814866,0,0,0,0,0,0,0
XEM,0,0.283693989049472,0.0728823197482288,0,0,0,0,0.0448209151771606,0,0,0.00442615299081139,0,0.159598579590048,0,0.104616803432991,0,0,0,0,0
MIOTA,0,0,0,0,0,0.281620628349749,0.00000000000000000010842021724855,0,0,0,0.108501529056969,0.203518047634787,0,0.0466190944229635,0,0,0,0,0,0
XMR,0,0,0,0,0,0,0,0.00613322870142941,0,0,0,0.108035240844141,0,0.00719299785377271,0.254288606773218,0,0,0,0,0
ETC,0,0,0,0,0.350761710949527,0,0,0.000311116045575123,0,0,0,0.00673982038043691,0.0438813177383993,0.0437540873280179,0.0824413140737934,0,0,0,0,0
NEO,0.0641745471489915,0,0,0,0,0,0.340083717940524,0,0,0,0,0,0.280150487868064,0.304854053259903,-0.1877644678075,0,0,0,0,-0.0337911275257468
ZEC,0,0.0405306118082119,0,0,0,0.13892399092041,0.116173003695861,0.0000000000000000000067762635780344,0.163811439130903,0,0,0,0.0169566912274114,0.0355172037242987,0.0985741742376978,0,0,0,0,0
BAT,0,0.0991726417943827,0,0,0.056837930379963,0.0201304405358064,0.108238274108785,0.0733380133393171,0,0.110066086919841,0.318181625540621,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0,0.0402701738657135,0,0.0986557192700384,0,0.0132737920230166,0,0.0577843612395138,0.00344680334214942,0.0815196490651798,0,0.154713880833354,0,0,0,0,0
XLM,0,0,0,0.183819381902167,0,0,0,0,0.249283411484786,0.2293058935449,0,0.097338889186917,0.121489469956424,0,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.00918804308727542,0,0,0,0,0,0,0,0.0137131647476828,0,0,0,-0.0152086649784626,0,0,0,0,-0.0330799974929993
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013251199401744
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,-0.00428192706474072,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,-0.000000081140538134893,-0.000000430147232694356,0,0.0000000990996715963169,0,0,0,0,0,0,0,0,-0.0397018830560202
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
