,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,ETC,TRX,DASH,MIOTA,NEO,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.176862205212949,0,0,0,0,0.141856944343029,0,0,0,0,0,0.0612341927790679,0,0,0,0,0
ETH,0,0,0,0.191631576567875,0.114713103096381,0,0,0,0,0.0378891135407195,0.180134537917991,0,0.0303582492964099,0.0104876845890321,0,0,0,0,0,0
XRP,0,0,0,0,0.170409684110836,0,0,0,0,0,0.0517171752004551,0,0.248149962719563,0.0113050125522065,0,0,0,0,0,0
BCH,0,0,0,0,0.00105371221350103,0,0,0.152128249321496,0.136319330090574,0,0.206399019378604,0,0.0405949432193616,0,0.0681465555678653,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0,0.0278696399647152,0.0135535418753753,0.173482941481426,0,0.0371556676602511,0.243279623185855,0.0339555304343929,0,0,0,0,0
XLM,0,0,0,0,0,0,0,0.334176318634194,0.0624552101091932,0,0,0,0.0268273661373284,0,0.167234164710975,0,0,0,0,0
LTC,0,0,0,0.289463925600538,0.0762104790101224,0,0,0,0,0,0,0,0.0943627095296815,0,0,0,0,0,0,0
ADA,0,0,0,0,0.145518405682919,0.117324452170841,0,0,0.0374441564412304,0,0.243238204485139,0,0.000000000000000000867361737988404,0.0675093561340994,0.0526097637499912,0,0,0,0,0
XMR,0,0,0,0.701112449509983,0,0,0,0.014224883418252,0,0,0,0,0,0.0466149317885995,0,0,0,0,0,0
ETC,0,0,0,0.0305666898882644,0.00459232373355435,0,0,0,0.167680536462166,0,0,0,0.298450178478285,0,0,0,0,0,0,-0.0826380514488962
TRX,0,0,0,0.056432552223438,0.238891445174475,0.0679636235877105,0,0.159405417307943,0,0,0,0,0.181891950166344,0,0,0,0,0,0,0
DASH,0,0,0,0,0,0,0,0.0544710693898474,0.113918084900501,0,0.11274311312203,0,0.165923414899838,0.0555042942571592,0,0,0,0,0,0
MIOTA,0,0,0,0.0459597320896411,0.0473998040288909,0,0,0,0.00344351878498598,0.0587523397836203,0,0,0,0.575645160815245,0,0,0,0,0,0
NEO,0,0,0,0,0.272741465029661,0,0,0.0166556233456557,0.103541142565501,0,0.0996380016967681,0,0.297436072165122,0,0,0,0,0,0,0
XEM,0,0,0,0,0.0707998473956765,0.0891863406128683,0,0.197615281336327,0,0,0,0,0.0930814617521639,0.0134237050401706,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0.0124394962598087,0,0,0,0,0,0,0,0,-0.060269274500456
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,-0.00000841368289300168,0,0,0.00000232014299135986,0,0,0,0,0,0,0,0,0,0,0,0.0451189719619215,0,0,-0.0106421017449341
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0471207105395083
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
