,BTC,ETH,XRP,LTC,XEM,DASH,DOGE,XMR,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.430802305450231,0.042784020698629,0,0,0,0,0,0,0,0,0,0
ETH,0.162944736795771,0,0,-0.178612963571807,0,0.25845113819456,0.110090960335016,0,0,0.143575178812712,0.399754074070913,-0.274623305076949,0,0,0.0641267227321821
XRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0.680457648312443,-0.0116160423384293,0.0248749542024322,0,0,0,0,0,0,0,0,0,0,0,-0.0255960275498127
XEM,0.394488268577933,0,0,0,0,0.0476822880199664,0,0.00000000000000000693889390390723,0.597472263564801,0.00852450588386319,0,0,0,0,0
DASH,0,0.0734273777558878,0,0.113015848110351,0,0,0,0,0,0.0269378649707172,0,0,0,0,0
DOGE,0.297645875756197,0,0.184227492942213,0,0.0157365486991027,0,0,0,0.0732312227797563,0.0499955191915779,0,0,0,0,0.0312529926844334
XMR,0.306728762938698,0,0,0,-0.0346947407540443,0.0526739356079462,0.217688081385262,0,0,0,0,0,0,0,-0.0677821717005638
XLM,0,0,0,0.0758872422415247,0.112792478457189,0,0.103456814491972,0.0279557862639393,0,0,0,0,0,0,0.0219369894575163
DGB,0,0,0,0,0.0560408653161776,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0741062558377128
CVIX.INDEX,0,0,0,0,0,0,0,0,0,-0.000016954371887999,0,0,0,0,0.123568573388115
DXY.INDEX,0,0,0,0,0.0000000168826527341797,0,-0.0000000634167791563805,0,-0.00000023814844783301,0,0,0.0326950897490702,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0648278511256878
VIX.INDEX,0,0,0,0,0.00000115119945055825,0,0,0,0,0,0,0.632894520432829,0,0,0
