,BTC,ETH,XRP,BCH,LTC,DASH,XEM,NEO,XMR,MIOTA,ETC,ADA,XLM,ZEC,EOS,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.253246705663814,0,0,0.0504745742092736,0,0.108957924918488,0.0178109259451615,0,0,0.0868784212159666,0.00309334521956292,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0.165638529730536,0,0.0125563636775305,0.0264904561179851,0,0.119800113297226,0,0,0.00386615935858712,0.0160014183553011,0,0,0,0,0,0
XRP,0,0,0,0,0,0,0.113829162342985,0.0465655479461581,0.0855703533148538,0.133674281890199,0,0,0.0450385315644687,0,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0.155545892002145,0,0.0225546508897482,0.259542141555237,0,0.00885218811362005,0,0,0,0,0,0,0
LTC,0,0,0.072830941027749,0,0,0,0.0657454043221332,0,0.0506225431373949,0,0.66179154254666,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0,0.0234607910174016,0,0.142006802446702,0,0,0.0892440126723412,0,0,0,0.109103694327811,0,0,0,0,0,0
XEM,0,0.290242582276453,0,0,0.0904307102728591,0,0,0.0173065837456417,0,0.12237344240606,0,0,0.0237058596789781,0,0,0,0,0,0,0
NEO,0,0.356634112941635,0,0.352062855717186,0,0,0,0,0,0,0,0,0.0682415189403763,0,0.04338161806327,0,0,0,0,0
XMR,0,0,0,0,0.0609629339998356,0,0,0.00136703764626467,0,0,0,0,0.0270534388042094,0.244186709549421,0,0,0,0,0,0
MIOTA,0,0,0,0.0426617796510365,0,0.105262342487559,0.194252524028514,0.0385279543704671,0,0,0,0,0.0415234750311585,0.168656444627732,0.115088648384923,0,0,0,0,0
ETC,0,0,0,0.0346292379796718,0.344653376709556,0,0,0,0,0.122471966546893,0,0,0,0.0195171522581145,0,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0,0.0387635379827894,0,0,0.171236971349597,0.0999460823866542,0.0975812045360057,0.225714813584517,0.27752772037677,0,0,0.0577127012166875,0,0,0,0,0,0
ZEC,0,0,0,0,0,0,0.0408961895785742,0.0192906680942115,0.0953592101002148,0.0583069429800488,0.19704777554433,0,0,0,0.204858873265613,0,0,0,0,0
EOS,0,0,0,0,0.0954951307221758,0,0,0.119537219007863,0,0.038949788516622,0,0,0,0.134793957959003,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0.00689599217149824,0,0,0,0,0,0,0.0406491355076785,0,0,0,0,-0.0798177773445019
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,-0.00108844993832139,-0.00000991515837697047,0,0,0,-0.000375134564617451,0,0,0,0,0,-0.0312420550390102
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
