,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,TRX,MIOTA,NEO,XMR,DASH,XEM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0464076949461891,0,0,0,0.0946025304697645,0,0,0.0136663862872347,0,0,0.186944540323959,0,0,0,0,0,0
ETH,0,0,0.23442282484679,0.0721421511978448,0,0,0,0.0479882678705134,0,0.0958767895017032,0,0,0,0.091752437698912,0,0,0,0,0,0
XRP,0,0,0,0.0511281229790222,0.0540882389129773,0,0.0145490655391606,0.128302662297437,0,0.0266733979703847,0,0,0,0.295133829663311,0,0,0,0,0,0
BCH,0,0,0,0,0.00616914108785218,0,0.0303661251579715,0.0626107662082359,0.00418497942748217,0.233131700192201,0,0,0.167002775728383,0,0.0978026360176092,0,0,0,0,0
EOS,0,0,0.106876102279015,0,0,0,0.161188238246731,0,0.186947027050818,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0.157626872201793,0.179442825707293,0.0212202155291961,0,0,0,0.0182991478027666,0.0267427537052563,0,0,0,0.142555587177294,0,0,0,0,0,0
XLM,0,0,0,0,0.124662843373816,0,0,0.152598147609212,0,0,0,0,0,0.297921809286958,0,0,0,0,0,0
ADA,0,0,0.0702003269074225,0.0355645238295697,0.0937848492315074,0,0.258535444377629,0,0,0,0.0446321947443644,0,0,0.114479545409625,0,0,0,0,0,0
TRX,0,0,0,0.0192451181904226,0.180672335157455,0,0.33635779015801,0,0,0,0,0,0,0.175258292646886,0,0,0,0,0,0
MIOTA,0,0,0.0729941087696485,0.251286260198217,0.018283171123652,0,0,0.172620626895275,0.000000000000000000867361737988404,0,0.000000000000000000867361737988404,0,0.0225723696539874,0.170816868827672,0,0,0,0,0,0
NEO,0,0,0,0.044422375888007,0.0573696265413974,0,0,0.095008319564702,0,0.0232866667975856,0,0,0,0.319061862227283,0.0794919373805894,0,0,0,0,0
XMR,0,0,0,0,0.0157848536236297,0,0.129535517137975,0.0651019950595668,0,0,0,0,0.0886557261727929,0.15383772670664,0,0,0,0,0,0
DASH,0,0,0,0.101013983075958,0,0,0.0649378597935828,0,0,0.241711461829726,0.00684801656724444,0,0,0.114153627380961,0,0,0,0,0,0
XEM,0,0,0,0.00564145400404519,0,0,0.191144109264319,0.0973909463505007,0.0172618457864842,0.246988323292881,0.0158491549053694,0,0,0,0.0643198075638957,0,0,0,0,0
ETC,0,0,0,0.177751637540384,0.0446487017818239,0,0.0821937639935772,0,0.0374439232338596,0.133852218065106,0,0,0,0.0453202987654836,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0.0314543517025114,0,0,0,-0.0115380713349222,0,0,0,0,0,0,0,0,0,0,-0.0700072317684179
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0.00918681847436361,0,0,0,0,0.000932745737015554,-0.0048262223167481,0,0,0,0,0,0.0503709301895572,0,0,0
SPX.INDEX,0,0,0,0,-0.000000965856055652446,0,0,-0.00000239707344446954,0,0,0,0,0,0,0,0,0,0,0,-0.104984570275241
VIX.INDEX,0,0,0,0,-0.00821796846104904,0,-0.0112864467264231,0.00156177888597241,0,0.00790064487357391,0.00434631423297409,0,0,0,0,0,0,0,-1.5848531100616,0
