,BTC,ETH,XRP,BCH,EOS,LTC,BNB,XLM,ADA,TRX,XMR,BSV,DASH,XTZ,MIOTA,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0661959172677712,0.115441633136716,0,0,0,0,0,0,0,0,0.0357988191802244,0,0,0,0,0,0
ETH,0,0,0,0,0.218634739436179,0.0194394104634824,0,0,0.0540587837491387,0,0,0.120079551279121,0,0.0275038308144057,0,0,0,0,0,0
XRP,0,0.0672682253017632,0,0,0.0762422771959021,0,0.00803259966331185,0.0352682761181621,0.0857134829752108,0,0.158475946723652,0.018208723814458,0,0.02608063872699,0,0,0,0,0,0
BCH,0,0,0,0,0.180165450075184,0.257354265692527,0,0.0592761342894677,0.202644763080989,0,0,0.0521238498378184,0,0,0,0,0,0,0,0
EOS,0,0.101230687108759,0,0.0522677995600594,0,0.356488480858157,0,0,0,0,0.147033560012741,0,0,0.0252897958178591,0,0,0,0,0,0
LTC,0,0,0,0.447339429053711,0.102332323079465,0,0.0548842883635153,0,0,0,0,0.108284490850304,0,0,0,0,0,0,0,0
BNB,0,0,0,-0.0369608120162276,0,0.55894778967559,0,0,-0.172643203784784,0,0,-0.103895663448901,0.267617869737158,-0.0692034360829214,0,0,0,0,0,-0.0132683596826157
XLM,0,0,0,0,0.0596899791110754,0,0,0,0.0566592128543211,0,0.123663668940959,0.030215490982031,0.217413133865336,0,0,0,0,0,0,0
ADA,0,0,0,0.286401056726116,0.238498556513704,0,0,0,0,0,0,-0.000000000000000000433680868994202,0,0,0.0992732463941089,0,0,0,0,0
TRX,0,0,0,0.0189274730790482,0.142162998612041,0,0,0,0.0739582311150995,0,0.000000000000000000867361737988404,0.103852513821432,0.0779937422077339,0,0,0,0,0,0,0
XMR,0,0.286375114498116,0,0,0.136217778408273,0,0,0.0210302248466572,0,0,0,0.0393430663133167,0,0.021662854164683,0,0,0,0,0,0
BSV,0,0,0,0.0579832328898483,0.0391932107362125,0.309884446995544,0,0,0.0483491969268277,0.0387617640459861,0,0,0,0.00586559308668523,0.0514035672304225,0,0,0,0,0
DASH,0,0.234819142653848,0,0,0.101950084674816,0.00338987085238962,0.0363435026340561,0,0,0,0,0.0738871934803769,0,0,0,0,0,0,0,0
XTZ,0,0,0,0,0.179447669592139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIOTA,0,0.0360793418178773,0,0,0.135843406607966,0,0.00118902158918536,0,0.0936945693531854,0,0,0.0317661909903798,0.0540143249140878,0.0353906133642109,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00938809488475212
CVIX.INDEX,0,0,0,-0.0100790599436966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0752819638111161
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0671894487590953
VIX.INDEX,0,0,0,-0.00995098824206997,0,0,0,0,-0.00457106102053804,0,0,0,-0.00891859450249923,0.00452918063539497,0.0122571345610928,-0.0822494592058466,0.170736727163551,0,-1.28126814203633,0
