,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,NEO,MIOTA,XMR,DASH,TRX,XEM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.0739730252963258,0,0,0.0252181209742372,0.130808591931215,0,0.187485730461946,0.165041273455474,0.0153241446344604,0,0,0,0,0,0,0
ETH,0,0,0.0163471541271283,0.0719501049173129,0.0464487287091213,0.0085334723363982,0,0,0.165078193662477,0,0.183983610837272,0,0,0.0307231577614549,0,0,0,0,0,0
XRP,0,0,0,0.0441316687770417,0,0.00587542531599404,0.0675153551824629,0.059996952705825,0,0,0.204321859343031,0,0,0.0559170204026617,0.128744446069173,0,0,0,0,0
BCH,0,0,0,0,0.0104753712244119,0,0,0,0.079132307448928,0.117617824603363,0.0727640802808118,0,0.0251916401436591,0,0.0402219598357655,0,0,0,0,0
LTC,0,0,0,0.0654553519996278,0,0,0.00171920196141692,0,0,0,0.219317625793087,0,0.0849899082899594,0,0.16863694416043,0,0,0,0,0.0166561862198269
EOS,0,0,0,0,0,0,0,0,0,0,0.177085954132656,0,0.148292987366743,0,0.242263364486671,0,0,0,0,0
ADA,0,0,0.188322532023824,0,0,0,0,0.278038598674537,0.0934892534966048,0,0.0425465253521851,0,0,0.0960489442488067,0,0,0,0,0,0
XLM,0,0,0.209597080384833,0,0,0,0.15082885049625,0,0.105203237597753,0,0.132104295424495,0,0.00994889477752996,0.0603782601460684,-0.000000000000000000867361737988404,0,0,0,0,0
NEO,0,0,0,0.0657001206917494,0,0,0,0.115420820517202,0,0.302642488935892,0.169942722940529,0,0,0,0.0927561765735366,0,0,0,0,0
MIOTA,0,0,0,0.0741706511970361,0.0955079437219928,0,0,0,0.0776773493846573,0,0.32783069011328,0.0526260620492636,0.0605512712444971,0,0,0,0,0,0,0
XMR,0,0,0,0,0.179422593795748,0,0,0,0.4164583602809,0,0,0.0629047518657425,0.0338035975016191,0,0,0,0,0,0,0
DASH,0,0,0,0.100909204889391,0,0,0,0,0.164567012553562,0.0495740412793925,0.177899590904946,0,0.0761428204097491,0,0,0,0,0,0,0
TRX,0,0,0,0.229180025149255,0,0.231745875330368,0,0,0.229946304648042,0,0.0390667042687714,0,0,0.000000000000000000216840434497101,0,0,0,0,0,0
XEM,0,0,0,0,0,0,0.159571252769116,0.0598958700917337,0.165438429989705,0,0,0,0.184190877302352,0,0,0,0,0,0,0.0232718046510533
ETC,0,0,0,0.027314080104342,0,0.0844645809197925,0,0,0.429129179318476,0,0,0,0.0487703962521357,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,-0.015821192828211,0,0,0,0,0,0,-0.0405763333277063
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,-0.000000333540890380072,0,0,0,0,0,0,-0.0771284655959496
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
