,BTC,ETH,XRP,ETC,XEM,LTC,DASH,XMR,ZEC,XLM,DOGE,DGB,BAT,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0.0095241681019668,0,0.103633169929377,0,0,0,0,0,0.0482116343520859,0,0,0,0,0
ETH,0,0,-0.0648251030596091,0.14713479110612,0,0,0,0,0.13364470384613,0,0.0382147733050287,-0.0136962952205339,0,0,0,0,0,0,0.0379441840788309
XRP,0,0,0,-0.132465136230874,0,0,0,0,0,0.445507470476237,0,0,0,0,0,0,0,0,0
ETC,0,0.173279381703167,-0.0731598375980426,0,0,0,0,0,0,0,0,-0.0140683202169207,0,0.312339548068636,0,0,0,0,0
XEM,0,0,0.28764372509274,0,0,0.132546345466736,0,0,0.0578072050896864,0,0.190501700803688,-0.0389255021593766,0,0,0,0,0,0,0
LTC,0,0,0,0,0.0746903205967459,0,0,0.284877401569664,0,0.0306024090903623,0,-0.0500741119715297,0,0.175175333127251,0,0,0,0,0
DASH,0,0,0,0,0,0,0,0.206036784077515,0.126106581668302,0.0470209974586131,0,-0.0119737929867433,0,0.130437961782427,0,0,0,0,0.0441450338351543
XMR,0,0,0,0,0.077900427400679,0.00745443918908781,0.295599243937177,0,0,0.0673554698107722,0,0,0,0,0,0,0,0,0
ZEC,0,0.251688605753522,0.0147679902508656,0,0,0,0,0,0,0.00610272140020408,0.0585727630732702,0,0,0.0550194134858041,0,0,0,0,0
XLM,0,0,0.473405095425296,0,0,0,0,0.144258929763851,0,0,0,0.0185139023360478,0,0,0,0,0,0,0
DOGE,0,0,0,0,0.152216827810094,0.249959961362082,0,0,0,0.0885803193380713,0,0.0796235110177405,0,0.0504895528701344,0,0,0,0,0
DGB,0,0,0,0,0,0,0,0.22784777267345,0,0.343377617195136,0.321875704337449,0,0,0,0,0,0,0,0
BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEO,0,0,0.125824675624203,0.367973145024203,0,0.0735176525219958,0,0.155346917370817,0.187086118942794,0,0,0.0325057209598244,-0.0650627496105641,0,0,0,0,0,-0.113660801187506
BV010082.INDEX,0,0,-0.00276442553772025,0,-0.00735253994689156,0,0,0,0,0,-0.00164875333272079,0.00427034255013159,0,0.0295274142070869,0,0,0,0,-0.0420853896704112
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,-0.000478877921617803,0,-0.002923864658302,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0.00000100056225142289,0,0,0,0,0,0,-0.0170915855862564
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
