,BTC,ETH,XRP,LTC,BCH,EOS,BNB,BSV,XLM,ADA,TRX,XMR,DASH,MIOTA,ATOM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.0455446592708128,0.10750776075795,0,0,0,0,0,0.327668550882978,0,0,0,0,0,0,0,0
ETH,0,0,0,0.0262572645582402,0,0.208254666912808,0,0,0.17943956171787,0.102505798061912,0,0.065603879741416,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0,0.188677382590286,0,0,0,0.132842536363375,0.00894364134467856,0,0,0.0548428699637001,0,0,0,0,0,0
LTC,0,0,0,0,0.19320743859931,0.21781371379958,0,0,0,0.0957046912944825,0.041204722815943,0.149721031440135,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0,0.269207555447243,0,0.0215727591460603,0,0.127441482072139,0,0,0,0,0,0,0,0,0,0
EOS,0,0.203034025121919,0,0.131060913300555,0.283991301456973,0,0,0.00689839265197778,0,0.0638811060916905,0,0,0,0,0.0231991462601784,0,0,0,0,0
BNB,0,0,0,0.25093382349835,0.0585894635430329,0,0,0.0369520933836711,0,0,0,0,0,0,0.138405889187535,0,0,0,0,-0.0797914093720313
BSV,0,0,0,0,0,0.180095989710255,0,0,0,0,0.338693133818511,0,0,0.240142194415894,0,0,0,0,0,0
XLM,0,0.129030601953016,0.0070678449195201,0.0502389735584674,0,0.0320442257858314,0,0,0,0.272820584858875,0.0215285325996547,0,0,0.0185302889260943,0,0,0,0,0,0
ADA,0,0,0.142482660656678,0.100197100238886,0,0.11787008640071,0,0,0,0,0.284374635806892,0,0,0.082746343086489,0,0,0,0,0,0
TRX,0,0,0.103474301167127,0,0,0.28799351392499,0,0.0297789875010089,0,0.19117091659085,0,0,0,0,0,0,0,0,0,0.0503512891736131
XMR,0.319157199836333,0,0,0.0870229494597201,0,0,0,0,0.0465149060500701,0.163661287954139,0.0372737752257005,0,0,0.0717687381459877,0,0,0,0,0,0
DASH,0,0,0,0,0,0.128887724169532,0,0,0.153659619885281,0.134053345172495,0,0.00060406155641653,0,0.0106873559799057,0.02841811723508,0,0,0,0,0
MIOTA,0,0,0.195015264530959,0,0,0.232287899881283,0,0.10217066650432,0,0.181487536472348,0,0,0,0,0,0,0,0,0,0
ATOM,0,0,0,0.074078372879282,0,0.104822866399793,0.304739914037436,0,0,0,0.130562606620942,0,0.0570011785880306,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0619380127224708
CVIX.INDEX,0,0,0,0,0,0,0,-0.0349004570858184,0,0,0,0,0,0,0,0,0,0,0,0.0546760816615508
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0618141650104229
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
