,BTC,XRP,ETH,LTC,DOGE,DASH,XLM,XEM,XMR,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.386108565939183,0,0,0,0,0.0710363325478076,0.00505619272247565,0,0,0,0,0
XRP,0,0,0,0,0.0737454174064326,0,0.131099220093857,0.00988294434177628,0,0.0274045323000146,0,0,0,0,0
ETH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0.461974242669977,0,0,0,0.013867977130195,0,0,0.00187104797726095,0,0.00126108291204208,0,0,0,0,0
DOGE,0,0,0,0.695810250084168,0,0,0.109337967632077,0.0121353532865752,0.0503442533420373,0,0,0,0,0,0
DASH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XLM,0,0.125252156420791,0,0,0.176966344109351,0,0,0.029518253941982,0,0.0565189162912688,0,0,0,0,0
XEM,0,0.0858061939424329,-0.167247117376771,1.26118010556353,0,0,0.207781509292147,0,-0.164812390895052,-0.108827515342078,0,-2.34904902958042,0,0,0
XMR,0.695206895859917,-0.0362488860038329,0.0490927478735539,0,0.0585473653884393,-0.0764884972206183,0,-0.0550807912887454,0,0.0114625385097847,0,0,0,0,0
DGB,0.544709540569589,0,-0.0457259458963142,0,0,0,0.102994940337549,0.0291426035264558,0,0,0,0,0,0,0.203238131226168
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0383164937572799
CVIX.INDEX,0,0,0,0,0,0,0,-0.000000145333870405623,0,0,0,0,0,0,0.0469889246671558
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.099271358132405
VIX.INDEX,0,0.00000193494058088212,-0.0000282150229540606,0,0.0000201629990744769,0.000000000000000000000211758236813575,0,-0.00000663259466033361,0,0,0,0,0,-2.44975201208679,0
