,BTC,ETH,XRP,BCH,LTC,EOS,BNB,XLM,ADA,TRX,BSV,XMR,DASH,MIOTA,XTZ,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0249777629859023,0.0903907002561695,0,0.0552655099665985,0,0,0,0,0,0.126191516928214,0,0,0.0155352228171701,0,0,0,0,0
ETH,0,0,0,0,0,0.148391807065626,0,0.141519131500488,0.0629281253928502,0,0.0230426312267387,0,0,0,0.0647912610795013,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0,0.088676824648392,0,0,0.211415466300899,0,0.0220503880599587,0.0555183964682998,0,0,0,0,0
BCH,0,0,0,0,0.286951557556271,0.123418038382413,0,0,0.0661657249161449,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0.463700298550904,0,0.078855289682044,0,0,0.0107603999759225,0,0,-0.000000000000000000216840434497101,0,0,0.00926033645239581,0,0,0,0,0
EOS,0,0.0902746734096231,0,0.212611391065709,0,0,0,0,0,0,0.00860101043667229,0.0712815374361234,0,0,0.0765603221584562,0,0,0,0,0
BNB,0,0,0,0.0176716948173003,0,0,0,0,0,0,0.165209512799792,0.149984802528657,0.161809209122668,0,0,0,0,0,0,-0.0613373506887677
XLM,0,0.138748632420491,0,0,0,0,0,0,0.171736911400427,0,0,0.0701396754281177,0.105534321259047,0,0.0353063047396722,0,0,0,0,0
ADA,0,0,0.199478415183765,0.350014232227688,0,0,0,0,0,0,0,0.104400962788971,0,0,0.0497620454863582,0,0,0,0,0
TRX,0,0,0.189051283893143,0.00834329007183865,0,0.0615633957492832,0,0.157682449441302,0.142509066611324,0,0.0320235600137105,0,0,0,0,0,0,0,0,0
BSV,0,0,0,0.0957456081824213,0.227808837227387,0,0.0431993494624546,0,0.00652895711021861,0.0730083440046228,0,0,0,0.0940745223465592,0,0,0,0,0,0
XMR,0,0.167011318338237,0,0.0494775021151261,0,0,0,0.00000000000000000693889390390723,0.00800076170282855,0,0.0343753212050847,0,0.282545840220091,0.0625575071270994,0.0695019338247192,0,0,0,0,0
DASH,0,0,0,0.0249878453093557,0,0,0,0.133999512939956,0.0256171685134373,0.0709500142783144,0,0.0795078940933121,0,0,0.0470275941269153,0,0,0,0,0
MIOTA,0,0,0.193456776828978,0,0,0,0,0.0826573473763886,0.0603492866270868,0,0.0511634184131053,0.288828031480802,0,0,0,0,0,0,0,0
XTZ,0,0,0.219319734293676,0,0,0.321707165905567,0,0.130972936555231,0,0,0,0.298035095348126,0,0,0,0,-0.28561631462797,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0.00275815412599068,-0.00938862376112791,0,0,0.0211717576397932,0,0,-0.00979325119020192,0,0,0,0,0,-0.0624849018612211
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0618120925259655
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
