,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,MIOTA,NEO,TRX,XMR,DASH,ETC,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0754259672346162,0,0,0,0.0553775012328564,0,0.041740604895058,0,0.0563179330574258,0,0.0744485789478259,0.0691508520856483,0,0,0,0,0
ETH,0,0,0,0,0.0686710755594268,0,0,0,0.0343816033400843,0,0.121331311223836,0,0,0,0.178914629378796,0,0,0,0,0
XRP,0,0,0,0.0378089504867081,0.12855392422857,0,0,0,0.119200874943683,0,0.14467641391193,0,0,0,0.1023704610921,0,0,0,0,0
BCH,0,0,0,0,0.297053378054767,0,0,0.22697732779079,0,0,0.145547026052039,0,0,0.0664918722132746,0,0,0,0,0,0
EOS,0,0,0,0.0943852249182097,0,0,0,0,0.212162874535116,0,0.0978718692228805,0,0,0,0,0,0,0,0,-0.00523166399521505
LTC,0,0,0,0.263011601140887,0.0590013051946267,0,0,0,0.0957565883548762,-0.000000000000000000867361737988404,0,0,0,0.0468177873590076,0.0615046854117061,0,0,0,0,0
XLM,0,0,0,0.222495532617088,0,0,0,0.115158992928157,0.0776995794969301,0,0.00807523516857941,0,0,0,0.193567074122261,0,0,0,0,0
ADA,0,0,0,0.206254133861741,0.0963406674769054,0,0,0,0.0657003086856278,0,0.070656798974023,0,0,0,0.167988588813488,0,0,0,0,0
MIOTA,0,0,0,0,0.133823861696669,0,0.123913688722579,0.162559198681142,0,0.349435513220813,0,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0.0898194866763345,0.0624906493162112,0,0,0.140566936519836,0.176312859778317,0,0.0597044765841631,0,0,0,0.202442235387511,0,0,0,0,0
TRX,0,0,0,0.184638606409033,0.208087155482232,0,0,0.140200652910806,0.0819640769925754,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0.300740454877461,0.079670039768822,0,0,0.0655537903906362,0,0.055246551961306,0,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0.0585864730975093,0,0,0.13208494472905,0,0.0155193369933827,0,0,0.0513410348354262,0,0.0742207095748065,0.222893627490089,0,0,0,0,0
ETC,0,0,0,0.337265671349809,0,0,0,0,0.0784407238125849,0,0,0.157165643849258,0,0,0.0415181165901869,0,0,0,0,0
XEM,0,0,0,0.245091442708378,0.0710780814419518,0,0.0578845190828613,0.109426157458952,0,0.130702425219913,0,0,0,0.00824413948056281,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0632157247291419
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0.00000451400377294714,0,0,0,-0.000000863759686364791,-0.00000243122593726201,0,-0.00000193648622668205,0,0,0,0,0.0460441591939518,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0471206034302582
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
