,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,XTZ,ADA,LINK,XLM,TRX,XMR,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0961510623364698,0.0338804687591512,0.128851757064192,0,0,0,0.0335060122994689,0.027965530984015,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0.137606471885572,0.0202510201167073,0,0,0.0453565512289478,0,0.0746160187569805,0,0,0.201498341754894,0.00963306706213756,0,0,0,0,0,0
XRP,0,0,0,0.119384357385037,0.0348609736538704,0,0,0,0,0.0844446074237828,0,0,0.199560393065758,0,0,0,0,0,0,0
BCH,0,0,0,0,0.226748713829047,0.102033780344074,0.0153800285608896,0,0,0,0,0,0.200480194267906,0,0.113670335008512,0,0,0,0,0
BSV,0,0,0,0.42199208223114,0,0,0.339621597344226,0,0,0,0,0,0,0,0.142438320667471,0,0,0,0,0
LTC,0,0,0,0.269396108559426,0.0688248422674444,0,0,0,0,0.0421779343736458,0.106647617091706,0,0.0506845639907625,0.0225844640289157,0.020557191775203,0,0,0,0,0
EOS,0,0,0,0.175577254447565,0.120960008340035,0,0,0,0,0.0514026853261847,0,0,0,0.0339731730839946,0,0,0,0,0,0
BNB,0,0,0,0.155792860965503,0.0021662881260135,0,0.0561541652813075,0,0,0,0,0,0.248463523357824,0,0,0,0,0,0,0
XTZ,0,0.0474265018830388,0,0,0,0,0.010708034242471,0,0,0,0.31216913666838,0,0,0.0547756562418109,0,0,0,0,0,0
ADA,0,0,0,0,0.0395645305559222,0.15367408982441,-0.00000000000000000693889390390723,0,0,0,0.0235664527495701,0,0.178175727699359,0.0845351874586729,0.123264264518545,0,0,0,0,0
LINK,0,0,0,0,0.0143517049693741,0.275613494812804,0,0,0.109641052977221,0.0326967923116685,0,0.15507885159698,0.0769928933839015,0,0.0172279740726143,0,0,0,0,0
XLM,0,0,0.498482855791814,0.0150503681886878,0,0,0,0,0.0105147074256016,0,0.148267422345308,0,-0.000000000000000000433680868994202,0,0.0412166559937476,0,0,0,0,0
TRX,0,0,0,0.209658424040369,0.0260523989426803,0,0,0,0,0.0931015056482418,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0.0207331066006212,0,0.196202019308664,0,0.109259782650506,0,0.222211647271229,0.0741818296143726,0,0,0,0.00485935328465243,0,0,0,0,0
ETC,0,0,0,0.437594304427218,0.0721268697029216,0,0,0,-0.109297687058404,0.284239248922162,0,0,0,0,0,0,0,0,0,0.0190033106293017
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0903023976740957
CVIX.INDEX,0,0,0,0,0.005119043985703,0,0,0,0,0,0.00758014456924315,-0.00530611602733342,0,0,0,0,0,0,0,0.13515254276818
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0.00302695336492204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0638832042452334
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
