,BTC,ETH,XRP,BCH,LTC,DASH,XEM,XMR,NEO,MIOTA,ETC,ADA,ZEC,XLM,EOS,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.00634230724477445,0,0,0.160012796618583,0,0.055770459341769,0.0657576861029046,0.142016599654889,0,0,0.0177620073345799,0,0,0,0,0,0
ETH,0,0,0,0,0.10483523833456,0,0,0,0,0.0637014550764978,0,0,0,0.0731430823923797,0,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0.258217377262384,0,0,0,0,0,0.231605771237835,0,0,0,0,0,0
BCH,0,0,0,0,0.0424897092901125,0,0.150615217550911,0,0.0710464996549707,0,0,0,0,0.105504903307036,0,0,0,0,0,0
LTC,0,0,0,0.0145484876310613,0,0,0,0.0180055283636299,0.028879751244269,0,0.639913807790859,0,0,0.00527835052696471,0,0,0,0,0,0
DASH,0,0,0,0,0,0,0.13473807786784,0,0,0.0622041415596111,0,0,0.211302187247718,0.0164833565765987,0,0,0,0,0,0
XEM,0,0,0,0.0339384602370589,0.0408806129683664,0,0,0,0,0.131629810836026,0,0,0,0.219434485753893,0,0,0,0,0,0
XMR,0,0,0.0306011152469869,0,0,0,0,0,0,0.0113455855891465,0,0,0.190642501802448,0.0893218102252763,0,0,0,0,0,0
NEO,0,0.0514055368167637,0,0.131733746665085,0,0,0.0504761157815308,0,0,0.16310343047624,0,0.030967098498549,0,0.246569286800384,0.236823652429998,0,0,0,0,-0.117861622159016
MIOTA,0,0,0,0,0,0.265329793753729,0.108535297442904,0,0.186225571219406,0,0,0,0.00444704166605373,0.087403788785479,0.0583118167347352,0,0,0,0,0
ETC,0,0,0,0,0.333592717275967,0,0,0,0,0.0489613930581121,0,0,0,0.0454794389438084,0.00199414503913798,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZEC,0,0,0,0,0,0.119592305892663,0.137977382400566,0.0495954646686119,0,0.0175074475954731,0,0,0,0.166762800113761,0.163670584087215,0,0,0,0,0
XLM,0,0,0.394717351600915,0.0213313174214709,0,0,0.0033813163414902,0.0897580332561784,0.00868264212076562,0.117943703665496,0.285858237182076,0,0.137277744063701,0,0,0,0,0,0,0
EOS,0,0,0,0,0.109489921079097,0,0,0,0.105645810495533,0.0457522302388288,0,0,0.0372228653553384,0.0500382488441293,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0.0195038754371159,0,0,0,0,0,0,0,0,0,0,-0.0396380671017645
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,-0.0000807003588894319,0,-0.00016515889838966,0,0.0000000000000000000000529395592033938,0,0,0,0,0,0,0,0,0,-0.0358061493737067
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
