,BTC,ETH,XRP,BCH,EOS,XLM,LTC,TRX,BSV,ADA,MIOTA,XMR,BNB,DASH,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0780437306593924,0.0188875505159302,0,0,0,0.00222832095420698,0,0,0.195157281322181,0.0500752110636709,0.0965830529535483,0,0,0,0,0,0
ETH,0,0,0,0.15098033577231,0.105378545639712,0,0,0,0,0.257091021549157,0,0.000000000000000000216840434497101,0,0.112927404028916,0,0,0,0,0,0
XRP,0,0,0,0.0735718058193848,0.0395653199964104,0.0860024384308525,0,0,0,0.178184289266979,0.0492862208439288,0,0,0,0,0,0,0,0,0
BCH,0,0.191431024119722,0,0,0.24388725964474,0,0.0518315703534298,0,0.042265307616464,0.223878227055985,0,0,0,0,0,0,0,0,0,0
EOS,0,0.12492162330259,0,0.0166418602509914,0,0.146443198179108,0.088487917149018,0,0,0.273789250482672,0,0,0,0.0673743175551469,0,0,0,0,0,0
XLM,0,0.0945003766747658,0,0.0763336966126334,0.114615113242467,0,0,0,0,0.362999703185511,0,0,0,0.0252328662559759,0,0,0,0,0,0
LTC,0,0.353039949452229,0,0.0147974514413454,0,0,0,0,0,0.205991402007393,0.0347885187055425,0.0197302047674359,0,0.0512475678244093,0,0,0,0,0,0
TRX,0,0.147768828400113,0,0.124652103311875,0,0,0,0,0,0.225937485184742,0,0,0.0761963914698044,0,0,0,0,0,0,0
BSV,0,0,0,0.635360364459648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADA,0,0.312902368367692,0,0.12431860307537,0.126830938394825,0,0.12683239232426,0.151228742425607,0,0,0,0,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0.141555904062856,0.0882188042210758,0,0,0,0.0195502600159736,0,0,0,0,0.29742828544893,0,0,0,0,0,0
XMR,0,0,0,0.140855185475559,0.0703616793232664,0,0,0,0,0,0,0,0,0.357141143779093,0,0,0,0,0,0
BNB,0,0,0,0,0.101627297106202,0,0.00436782823604193,0,0,0.309399251711582,0.0476296008720686,0,0,0,0,0,0,0,0,0
DASH,0,-0.00000000000000000346944695195361,0,0.115708705055166,0.168077055259146,0,0,0,0,0.0819639359374967,0,0.184971740714841,0,0,0,0,0,0,0,0
XEM,0,0,0,0.14415062743036,0,0,0,0,0,0,0,0.122359925408518,0,0.0771903719028455,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0172156439133758
CVIX.INDEX,0,0,0,0,-0.000000801919979093163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0322344804360224
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0.00000160071579993966,0,0,0,0,0,0,0,0,0,0,-0.121473999525249
VIX.INDEX,0,0,0,0,0,0,0,0.0000412261564981928,0,0,0,-0.0000193581366741278,0,0,0,0,0,0,-2.56844235186697,0
