,BTC,ETH,XRP,LTC,ETC,DASH,XMR,XEM,DOGE,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0349057881284861,0,0.322996214795381,0,0,0.0147170196450148,0.0687012846848316,0.0532683986788252,0,0.0000000000000000000542101086242752,0,0,0,0,0
ETH,0,0,0,0,-0.0919004191109246,0,0,0.0783782250162218,0,0,0.0215436169831595,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0.412565491536881,0,0,0,-0.00600274107879344,0,0.019416627961832,0,0,0,0,0,0,0,0,-0.000777490523872568
ETC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DASH,0,0.09647288055781,0,0,-0.00538842647622136,0,0,0,0,0.0830920723110421,0,0,0,0,0,-0.0628131318105685
XMR,0,0.0792215310945397,0,0.199725069222076,0,0,0,0,0.128124147496475,0,0.13449692768404,0,0,0,0,0
XEM,0.380988941556414,0.0343433740055109,0,0,-0.00749770768136866,0.0978057322989535,0,0,0,0.369896098607446,0,0,0,0,0,-0.0138446386598071
DOGE,0.418097264803771,0.0521455275690564,0,0.0132468075962136,-0.0049811882456996,0,-0.0275696100309205,0.000000000000000000216840434497101,0,0.0233230821120545,0,0,0,0,0,0.0238249590417509
XLM,0,0,0,0,0.0000000000000000000542101086242752,0,0.0386809182593427,0.201277024496252,0,0,0,0,0,0,0,0
DGB,0,0.243439212091951,0,0.280771117905872,0.00798371965651246,0,0,0.0210216377766536,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0.0160060476536187,0,0.00098246901971579,0,0,0,0,0,0,0,0,-0.0748356855507248
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,-0.000000243374419417569,0,0,0,0,0,0,0,0.0203198839438454,0,0,-0.000000000000000000216840434497101
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,-0.000000184363409873639,0,0,0,0,-0.0441406418708746
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
