,BTC,ETH,XRP,BCH,LTC,NEO,XLM,ADA,XMR,EOS,DASH,MIOTA,XEM,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0297065592525302,0,0.0131547600075534,0,0,0.131354711906902,0.0710624250292585,0,0.139504329951951,0,0.113101047702789,0,0,0,0,0,0
ETH,0,0,0,0,0,0.148812045292473,0,0,0.085444583094959,0.0572761988958498,0,0,0.0505760483116371,0,0.158423327993726,0,0,0,0,0
XRP,0,0,0,0,0,0,0.164023227762519,0,0,0,0,0,0,0.310861088495832,0.147087457372418,0,0,0,0,0
BCH,0,0,0,0,0.070721955603461,0.00451226720672572,0,0,0.129446446151632,0.215339932272146,0,0,0,0,0.0371371961183524,0,0,0,0,0
LTC,0,0,0.0813905982956824,0.0818389431057321,0,0,0,-0.000000000000000000216840434497101,0.143024086975841,0.112120754308887,0,0,0,0,0.111401767316597,0,0,0,0,0
NEO,0,0.458876932354391,0,0,0,0,0,0,0.173512051322692,0,0,0.0502565378541784,0,0,0.181948630340685,0,0,0,0,0
XLM,0,0,0.145327071432689,0,0,0,0,0.247697376866806,0.0253003073189627,0.0686892755426265,0,0,0,0.119979125555015,0.0527795702363775,0,0,0,0,0
ADA,0,0,0.162685587817466,0,0.0949966167101441,0,0.219661659934202,0,0.0290074995617075,0.0319300136812905,0,0,0.0345069872438155,0,0,0,0,0,0,0
XMR,0,0,0,0,0.142451945414033,0.107990827971423,0,0,0,0.0643995906509842,0.495866924705329,0,0,0,0,0,0,0,0,0
EOS,0,0,0.117818255556942,0.0723687932366632,0,0,0.101831333299688,0,0.16447349210872,0,0,0,0,0,0.253201976264634,0,0,0,0,0
DASH,0,0,0.15729150151777,0.184191860323452,0,0,0.0460861764564794,0,0.244238432304218,0,0,0,0,0.0484524691089917,0,0,0,0,0,0
MIOTA,0,0,0,0.0300054366174492,0.0829811129759944,0.0902569381511936,0,0.0390676679635792,0.227158545307189,0.195164611678753,0,0,0,0.162584013036568,0.0186846321505341,0,0,0,0,0
XEM,0,0,0,0,0,0.102460652441392,0,0.146308896039181,0,0.112525496862955,0,0,0,0.252114567893889,0,0,0,0,0,0
TRX,0,0,0.458160087916238,0.172823875455134,0,0,0,0,0,0,0,0.249642277668131,0.112667578188335,0,0,0,0,0,0,0.0639914661198429
ETC,0,0,0.10978458827582,0,0,0.313022006091526,0,0,0,0.206543310298837,0,0,0.103396771628707,0.0518370659368384,0,0,0,0,0,0
BV010082.INDEX,0,0,0.00000000000000000010842021724855,0.0156819127458021,0,-0.00760304332463493,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.043892127670071
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0.00000185189738125246,0,0,0,0,0,0,0.0369857731700205
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00522855047763659
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0544651207758732
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
