,BTC,XRP,ETH,BCH,XLM,EOS,LTC,ADA,XMR,TRX,DASH,MIOTA,BNB,XEM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.034117157352031,0,0.0733968620309603,0,0,0,0,0,0.0139350276212883,0,0.0521982362467649,0,0,0,0,0,0,0,0
XRP,0,0,0.181418539025697,0,0.053065074255032,0,0,0,0,0,0,0.331636073575529,0,0,0,0,0,0,0,0
ETH,0,0.116071252542737,0,0.123205551540926,0,0,0,0.170573128156192,0,0.000000000000000000867361737988404,0,0,0,0,0,0,0,0,0,0
BCH,0,0.00000000000000000693889390390723,0.138636763718802,0,0,0,0,0.202234068617974,0,0.0612419209703632,0,0.242381087715031,0,0,0,0,0,0,0,0
XLM,0,0.138572473838497,0,0,0,0,0,0.598483978649332,0,0,0,0,0,0,0,0,0,0,0,0
EOS,0,0.144942975351521,0,0.175616674203914,0,0,0,0.0290534791891292,0,0.0289872444207154,0,0,0,0,0,0,0,0,0,0
LTC,0,0.0178460710633159,0,0.0788645083862877,0,0,0,0.148877985651718,0,0.0411991549960296,0,0.220729387885953,0,0,0,0,0,0,0,0
ADA,0,0.0618772907445713,0,0.161326085835231,0.395561876245304,0,0,0,0,0.0442696333277022,0,0.133810647410824,0,0,0,0,0,0,0,0
XMR,0,0.115582481751083,0,0.0589738136844749,0,0,0,0.0311541879952008,0,0,0,0.272741328278957,0,0,0,0,0,0,0,0
TRX,0,0,0.22710212193513,0.0480111394793292,0.077146512258628,0,0,0.157291388538014,0,0,0,0.206653608871701,0,0,0,0,0,0,0,0
DASH,0,0.0677851859242333,0.0494386800584177,0.0100766867846263,0,0,0,0.00117936570674712,0,0.00776879083263842,0,0.088911559575494,0,0.12234348259779,0,0,0,0,0,0
MIOTA,0,0.121004122585376,0,0.225969438136809,0,0,0,0.0188585168824468,0,0.0986054561702835,0,0,0,0.0960492187247917,0,0,0,0,0,0
BNB,0,0.0253855404276477,0.0637123695580389,0.0488612074588845,0,0,0,0,0,0.135091349353462,0,0,0,0,0,0,0,0,0,0
XEM,0,0.0304442862897645,0,0.0993004071978484,0,0,0,0.0362481197881745,0,0.156728297548498,0,0.170795871081646,0,0,0,0,0,0,0,0
ETC,0,0.0230136147450534,0,0.11678200999154,0,0,0,0.189399632800721,0,0,0,0.0242445388387519,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0125866069804682
CVIX.INDEX,0,0.00763976973368333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0297051276085569
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0.0000000796039782387141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0917287753821703
VIX.INDEX,0,-0.00000975711943947945,0,0,0,0,0.0000048873127183127,0,0,0,0,0,0,0,0,0,0,0,-4.05639112596307,0
