,BTC,ETH,XRP,BCH,LTC,NEO,XLM,ADA,EOS,XMR,DASH,MIOTA,XEM,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.081920349947632,0,0.0513322340251616,0,0.00407604842231081,0.0333045292787977,0.14546351981215,0,0.0938477868157808,0,0.127588180693242,0,0,0,0,0,0
ETH,0,0,0,0,0,0.169222861949724,0,0,0.0276923190117047,0.092949651327918,0,0.0575051922405707,0.172657902035905,0,0.0840170670804619,0,0,0,0,0
XRP,0,0,0,0,0,0,0.168749092080759,0.00000000000000000693889390390723,0.00000000000000000173472347597681,0,0,0,0,0.308120503332533,0.148044305272069,0,0,0,0,0
BCH,0,0,0,0,0.166447237084863,-0.00000000000000000346944695195361,0,0,0.19308294009277,0.0683775297996089,0,0,0,0,0.0672391531982268,0,0,0,0,0
LTC,0,0,0.0813905982956826,0.081838943105732,0,0,0,0,0.112120754308887,0.143024086975841,0,0,0,0,0.111401767316597,0,0,0,0,0
NEO,0,0.249102601042297,0,0,0,0,0.103039365955294,0,0,0.111188697376762,0,0.201395183419786,0,0,0.206610456389006,0,0,0,0,0
XLM,0,0,0.174981888389742,0,0,0,0,0.290512569033003,0.0515227394432551,0.0182265906536266,0,0,0,0.0946623785115412,0.0622626054270912,0,0,0,0,0
ADA,0,0,0.0967544157026745,0.0462030195433145,0.0500650490239164,0,0.288107379318494,0,0.0231168998698954,0.0816138203110899,0,0,0.0446581515345112,0,0,0,0,0,0,0
EOS,0,0,0.126394680272675,0,0,0,0.108927710447403,0,0,0.173476174293523,0,0,0.011621816292468,0,0.265008227940908,0,0,0,0,0
XMR,0,0,0,0,0.105988482353682,0.126635466797139,0,0.0781867743593442,0.000000000000000000216840434497101,0,0.463480491761555,0,0,0,0,0,0,0,0,0
DASH,0,0,0.144043736678467,0.0299207819062285,0,0,0.0382799224640756,0,0.12685216106535,0.138994155544532,0,0,0,0.0366476137713714,0,0,0,0,0,0
MIOTA,0,0,0,0.0277984364694122,0.0793690802549603,0.0701152476217503,0,0,0.204516912303589,0.204418914503385,0,0,0,0.147614303485523,0.0786089954731056,0,0,0,0,0
XEM,0,0,0,0,0,0.11506495960706,0,0.168258968897806,0.10386019194886,0,0,0,0,0.25351413966559,0,0,0,0,0,0
TRX,0,0,0.465032025688259,0.201506893073184,0,0,0,0,0.0150149540780919,0,0,0.170396514123668,0.133168728354745,0,0,0,0,0,0,0.0673700877005755
ETC,0,0.113263629668928,0.114631061086371,0.00679119408470208,0,0.309427071249839,0,0,0.176901218852126,0,0,0,0.0833664991422874,0.0463763909321734,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0.017992049554116,0,-0.00872306423816448,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.045652411212717
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0166574788729607
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00522855860709494
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0544651230008164
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
