,BTC,ETH,XRP,BCH,LTC,ADA,NEO,XLM,EOS,XMR,DASH,MIOTA,XEM,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0624187452655953,0.0784142981404208,0,0,0.0449767934171845,0,0.0924483960130827,0.228972651807337,0,0.0737982003550732,0.065524913651823,0.0178146820094546,0,0,0,0,0,0
ETH,0,0,0.0883821588249454,0.0731710311367332,0,0,0.146943815064085,0,0.17304449942753,0.0560926438524152,0,0.00676486399542852,0,0,0.00400059638219457,0,0,0,0,0
XRP,0,0,0,0,0,0.0123606514755408,0,0.0598038043193841,0,0,0,0,0,0.3325513629252,0.142286682395162,0,0,0,0,0
BCH,0,0,0,0,0.0795029283666497,0,0,0,0.116807089303299,0.100825219974343,0,0.0554082815896841,0,0.00163629556901129,0.0104775601377247,0,0,0,0,0
LTC,0,0,0,0.00328785976540252,0,0,0,0,0.140640803466989,0.117654249130054,0,0.156711300677518,0,0.0296936769159474,0.124756124675123,0,0,0,0,0
ADA,0,0,0.167710741087838,0,0,0,0,0.23127952000523,0.145185953022481,0.0475059456542476,0,0,0.0518933481094653,0.0342463836024722,0,0,0,0,0,0
NEO,0,0,0,0.081208886177991,0,0,0,0,0.11509601661001,0.0928611665183927,0,0.229737556516149,0,0,0.0937688968731856,0,0,0,0,0
XLM,0,0,0.2398195540072,0,0,0,0,0,0.0237099914841708,0.0589685298065276,0,0,0,0.147371846473089,0.023290318769174,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0.0481571026999991,0,0.165048183690397,0,0,0,0.142787671478448,0.237786078944238,0,0,0,0,0
XMR,0,0,0,0,0.209561482544261,0,0.171174045587818,0,0,0,0.354984250757851,0.0264739352206826,0,0,0,0,0,0,0,0
DASH,0,0,0.0591097406252366,0.338734530422806,0,0,0,0.0439948174333429,0.086998865803864,0.0678454216339202,0,0,0,0.117280637898297,0,0,0,0,0,0
MIOTA,0,0,0,0.0144355810040453,0,0,0.104496914472291,0,0.145031318278769,0.208595690178309,0,0,0,0.153432244363149,0.153164561476863,0,0,0,0,0
XEM,0,0,0,0,0,0,0.0962182957596669,0,0.291569393195011,0,0,0,0,0.2376696394452,0,0,0,0,0,0
TRX,0,0,0.382688109427372,0.174468141284931,0,0,0,0.00000000000000000346944695195361,0.00247943047623958,0,0,0.271397288251744,0.0284389351807638,0,0,0,0,0,0,0
ETC,0,0,0.160548568278839,0.0358638955528793,-0.00000000000000000346944695195361,0,0.157317785083199,0,0.271794742165239,0,0,0,0,0.0832991461834901,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,-0.00490668175576304,0,0,0,0.0167758686579262,0,0,0,0,0,0,0,0,-0.0477980179635846
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016660258837781
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00343013866141086
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0544648754673812
VIX.INDEX,-0.0703881023502928,0,0,-0.111092582121955,0,0,0,0,0,0.0893447115421013,0,-0.124609022545307,0,0.190971581562152,0,0,0,0,-1.53966021575675,0
