,BTC,INNBCL,ETH,XRP,BCH,BSV,LTC,BNB,EOS,XTZ,TAGZ5,LINK,XLM,ADA,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0.115673245058487,0,0,0,0.169784359843138,0.00455123885114348,0,0,0.0288455935706537,0,0,0,0,0,0
INNBCL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,0,-0.00156998533742513,0,0,0.186584422302449,0.117956788398955,0,0.0376120113279364,0,0.202560023703699,0.0196550091685722,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0.0740368432471703,0.172636875079962,0,0.0150859231197169,0,0.141893156738119,0,0,0,0,0,0,0,0,0,0
BCH,0,-0.000243018893628058,0.0501994607666485,0,0,0.459235084369699,0,0,0,0.169828115622868,0,0,0,0.053862783548827,0,0,0,0,0,0
BSV,0,-0.00116315423022357,0,0,0.626235005031139,0,0,0,0,0.0559928004665166,0,0,0,0,0,0,0,0,0,0
LTC,0,0.00169695957833594,0,0,0,0.0527296813940983,0,0,0,0.268208886862072,0,0,0,0.0700150773950489,0,0,0,0,0,0
BNB,0,-0.000712040278687155,0.249853832827823,0,0,0.122275866963665,0,0,0,0.225589338813946,0,0,0,0,0,0,0,0,0,0
EOS,0,-0.00233627983633527,0,0,0.407880148058183,0.0452583387191399,0,0,0,0.137679771727782,0.00692371348260799,0,0,0,0,0,0,0,0,0
XTZ,0,0.00103469177845474,0.388392296376106,0,0,0,0,0,0,0,0.0180037758450007,0.477495065118603,0,0,0,0,0,0,0,0
TAGZ5,0,0.00156691728686744,0.196700950094979,0,0.121402059099144,0,0,0,0,0.109833437436659,0,0,0,0,0,0,0,0,0,0
LINK,0,0.00113821944847421,0,0,0,0,0,0,0,0.610715159238604,0,0,0,0,0,0,0,0,0,0
XLM,0,0.000271678616183981,0,0,0.0745434986971546,0.173285133811285,0,0.0311851530275541,0,0.202642484627127,0.00130827745827874,0,0,0.190025283024202,0,0,0,0,0,0
ADA,0,-0.00253614398437947,0,0,0.213733133028023,0,0,0,0,0.287826222369297,0,0.00868573266318834,0,0,0,0,0,0,0,0
XMR,0,-0.00343403349076875,0,0,0,0.107602219132473,0,0.190606119441586,0.0488573571246429,0.0123154737267346,0.0273595145943053,0,0,0.276904217188937,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,-0.0169351858278836,0,0,0,0,-0.080215078668508,0,0,-0.0268598954525048
CVIX.INDEX,0,-0.000000147413975325205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134803735393825
DXY.INDEX,0,0.0000000365774932109508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0133832123624497
SPX.INDEX,0,0.0000000713964770020878,0,0,0,0,0,0,0,0,-0.000000529467248853487,0,0,0,0,0,-0.0395740101797721,0,0,-0.245940051336783
VIX.INDEX,0,0.000000223481017894857,0,0,0,-0.00000701803957883418,0,0,0,0,0,0,0,0,0.00000000000000000000042351647362715,-0.0706644993505891,0.109023682518821,0,-1.45410809388199,0
