,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,TRX,MIOTA,NEO,XMR,DASH,XEM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0441145647545377,0,0,0,0.09370725461935,0.00498794650164067,0,0.0116017806769736,0,0,0.187302231037911,0,0,0,0,0,0
ETH,0,0,0.251110186588078,0.0737747337234453,0,0,0,0.0390351998225603,0,0.0889844701463591,0,0,0,0.0737551138137929,0,0,0,0,0,0
XRP,0,0,0,-0.000000000000000000867361737988404,0.0540140041771238,0,0.0685666146702321,0.0485416294878599,0,0.100949228704068,0,0,0,0.269410617339221,0,0,0,0,0,0
BCH,0,0,0,0,0.0156542680045055,0,0.0295875629758809,0.0696333372145696,0,0.29566069071165,0.0128517139270428,0,0.09698523549195,0,0.0542374655326068,0,0,0,0,0
EOS,0,0,0.242302263765928,0,0,0,0.0318532732539452,0.0622997301250445,0.222293390178575,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0.156725076600304,0.198071635296914,0.0152749658943438,0,-0.000000000000000000867361737988404,0,0.00979108246750596,0,0,0,0,0.174742282145576,0,0,0,0,0,0
XLM,0,0,0,0,0.123025692350649,0,0,0.157952441029941,0,0,0.0032456514304409,0,0,0.297218070622466,0,0,0,0,0,0
ADA,0,0,0.0905606302785046,0.0509745334329255,0.0903236427211931,0,0.265459872444405,0,0,0,0.0384792904141987,0,0,0.0687462656617849,0,0,0,0,0,0
TRX,0,0,0,0.0192451181904227,0.180672335157455,0,0.33635779015801,0,0,0,0,0,0,0.175258292646886,0,0,0,0,0,0
MIOTA,0,0,0,0.300273971172575,-0.00000000000000000010842021724855,0,0,0.231858401549119,0,0,0,0,0,0.0918657561243148,0,0,0,0,0,0
NEO,0,0,0,0.0445463978801038,0.0622101620101569,0,0.00000000000000000010842021724855,0.101644996438664,0,0.0187521806455427,0,0,0,0.313672342040971,0.0603483168440486,0,0,0,0,0
XMR,0,0,0,0.0427784157263083,0.0220993739822088,0,0.132131933405991,0.0667081963807188,0,0,0,0,0,0.196470367316487,0,0,0,0,0,0
DASH,0,0,0,0.0907093973989246,0,0,0.0767045405236805,0,0,0.301553838830562,0.010702576639924,0,0,0.0491490769761634,0,0,0,0,0,0
XEM,0,0,0.0445606751380926,0.0112767008180334,0,0,0.177246755456715,0.0760640592644475,0.0194844794496299,0.238464117965265,0.0274594553609055,0,0,0,0.0778450342862844,0,0,0,0,0
ETC,0,0,0,0.170696635365762,0.046209881715758,0,0.085472137209012,0,0.0376622725987831,0.056497233222844,0,0.106710562796578,0,0.0848895692558442,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0.00885945073520425,0,0,0,-0.00216696721612356,0,0,0,0,0,0,0,0,0,0,-0.0819627596963987
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0.0000405193339631116,0.009205776744539,0,0,0,0,0.000917087008255875,-0.00483855645958299,0,0,0,0,0,0.0504947108139112,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00000115576863652333,0,0,0,0,0,-0.104985084802108
VIX.INDEX,0,0,0,0,-0.00823697065300602,0,-0.000567636754396589,0,0,0,0.00229738544177075,0,0,0,0,0,0,0,-1.61919794385725,0
