,BTC,XRP,ETH,LTC,DOGE,DASH,XLM,XMR,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.373907956113782,0,0,0,0.0734402174653828,0,0.00622697667897734,0,0,0,0,0
XRP,0,0,0,0,0.0309569944916418,0,0.211736825125177,0,0.0276066711825574,0.00590656747382889,0,0,0,0,0
ETH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0.50324522116548,0,0,0,0.0146695688636504,0,0,0,0.00327723231423358,0,0,0,0,0,-0.00645070414562715
DOGE,0,0,0,0.722590795428381,0,0,0.102915474056218,0,0.0058166611911748,0,0,0,0,0,0
DASH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XLM,0,0.12357843119165,-0.017231162645549,0,0.173575921196032,0,0,0,0.0287691044915433,0.0568767452581834,0,0,0,0,0
XMR,0.673280676243302,0.00000000000000000173472347597681,0,0,0.0315696775400966,-0.061756074312039,0,0,-0.0248274414612162,0.0231401528858152,0,0,0,0,0
XEM,0,0.120902610014555,0,0.551096732432797,0.0494247204062275,0.139734638108849,0.233526018447688,0,0,0,0,0,0,0,0
DGB,0.309829240746033,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190400114187402
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0312223343205307
CVIX.INDEX,0,0,0,0,0,0,0,0,-0.000000208787864557724,0,0,0,0,0,0.0469887995887831
DXY.INDEX,0,0,0,0,0,0,0,0.000000106481864524951,-0.000000442904426066487,0,0,0,0,0,-0.0164918198162068
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0992720886243574
VIX.INDEX,0,0,-0.0000190262884457169,0,0.0000111521239836234,0.00000486959308093395,0.0000289320368375151,0,-0.0000126331647554767,0.00000157947954309039,0,0,0,-3.03778403254086,0
