,BTC,INNBCL,ETH,XRP,BCH,BSV,LTC,EOS,BNB,XTZ,TAGZ5,LINK,XLM,ADA,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0.0509915935896229,0,0,0,0.189345321212316,0.00350102622385853,0,0,0,0,0,0,0,0,0
INNBCL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,0,-0.00075524444498592,0,0,0.14320571614542,0.188346728862386,0,0,0.0226950944014241,0.207514313885911,0.0186572485526181,0,0,0,0,0,0,0,0,0
XRP,0,0.000470460668759255,0,0,0.0991477429585069,0.152570128864495,0,0,0.0427432496872881,0.128379429052809,0,0,0,0.0461422132415092,0,0,0,0,0,0
BCH,0,0.00134902923664852,0,0,0,0.402281403193988,0,0,0,0.165933224924766,0,0,0,0.0504319687993699,0,0,0,0,0,0
BSV,0,-0.00180458875238648,0,0,0.711559136849969,0,0,0,0,0.019781705050667,0,0,0,0,0,0,0,0,0,0
LTC,0,0.00178986430245765,0,0,0.127616818942618,0.00855434138112327,0,0,0,0.263431317947522,0,0,0,0.0642339301595475,0,0,0,0,0,0
EOS,0,-0.00111112806507016,0,0,0.301614697707834,0.059996448645013,0,0,0,0.149534783275518,0.0151259654850676,0,0,0,0,0,0,0,0,0
BNB,0,0,0,0,0.2013505038371,0.092697094239532,0,0,0,0.233166078287812,0,0,0,0,0,0,0,0,0,0
XTZ,0,0,0.436495156286682,0,0,-0.00000000000000000010842021724855,0,0,0,0,0.0120576044466226,0.487973993527304,0,0,0,0,0,0,0,0
TAGZ5,0,0.0011228991573715,0,0,0.219806587289421,0,0,0,0,0.18235352961461,0,0,0,0,0,0,0,0,0,0
LINK,0,0,0,0,0,0,0,0,0,0.637238294796054,0,0,0,0,0,0,0,0,0,0
XLM,0,0.000264777253738937,0,0,0.129204190718067,0.159597318301791,0,0,0.0711699532986231,0.214811791794161,0.000557269854415795,0,0,0.124127987585821,0,0,0,0,0,0
ADA,0,-0.00245928558418857,0,0,0.24054497505793,0,0,0,0.0799757635418401,0.299160896662411,0,0,0,0,0,0,0,0,0,0
XMR,0,-0.00356315493952345,0,0,0,0.134303636497856,0,0,0.169552241081235,0.0213716051650176,0.0278417030647088,0,0,0.276238437467843,0,0,0,0,0,0
BV010082.INDEX,0,-0.000866695395078012,0,0,0,0,0,0,0,0,0.00376176420225071,-0.0439770661340046,0,0,0,0,-0.109784188236768,0,0,-0.085269905489095
CVIX.INDEX,0,-0.000000136065834717018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134803924541163
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.013382909960904
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0230847652705992,0,0,-0.197535146711688
VIX.INDEX,0,0.00000023966708763722,0,0,0,-0.00000379612675782563,0,0,0,0,-0.00000115333760432926,0,0,0,0,-0.0468940808450294,0.0815631069342442,0,-1.93957004385157,0
