,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,NEO,MIOTA,XMR,DASH,XEM,TRX,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.000000000000000000867361737988404,0,0,0,0.102470345653704,0,0.174509499397691,0.232241378641963,0,0.060230213910317,0.0274109775741384,0,0,0,0,0
ETH,0,0,0.0323140609533889,0,0.199228386411134,0,0,0,0.200691447557227,0,0.0296921691183393,0.0393136691951736,0,0,0.0186534719548992,0,0,0,0,0
XRP,0,0,0,0,0.0889739674681322,0,0.118445125610901,0.156967115012966,0.0612640195004541,0,0.0568078849638078,0,0.0319713650985153,0.0459567015140575,0.00000000000000000346944695195361,0,0,0,0,0
BCH,0,0,0,0,0.201365084474713,0,0,0,0.0224799807529784,0.118190065062478,0.00336981110303385,0.00294482469428954,0,0.020508035938918,0.0778914434915981,0,0,0,0,0
LTC,0,0,0,0.120575138325006,0,0,0.069602281789714,0,0,0.0823747376308109,0.118300651205352,0,0,0.102182022946387,0,0,0,0,0,0
EOS,0,0,0.0920854005944954,0,0,0,-0.00000000000000000346944695195361,0,0.258758349092445,0,0,0,0.0332387266919142,0.0561039134229048,0.0967663098828314,0,0,0,0,0
ADA,0,0,0.172666588519069,0,0,0.106013236758472,0,0.274667026378632,0,0,0.028416236371127,0,0.0843679585628967,0.052774688625432,0,0,0,0,0,0
XLM,0,0,0.183650524904125,0,0,0,0.23437878526873,0,0.171520418586965,0,0.00838027567181952,0,0.0513033052623053,0.049110017142183,0,0,0,0,0,0
NEO,0,0,0,0,0,0,0,0.0907943512718883,0,0.329879245373785,0.140987735933939,0,0,0,0.0119159389564508,0,0,0,0,0
MIOTA,0,0,0,0,0.15979824545836,0.068091608146944,0.0598022138313016,0,0.0899171240766713,0,0.184681505545369,0.150919416830332,0,0.0977794772701783,0,0,0,0,0,0
XMR,0,0,0,0,0.172513259621893,0,0,0,0.295465211426292,0.160604803013169,0,0.0751989756782223,0,0,0.0331149453677838,0,0,0,0,0
DASH,0,0,0.0763461600555326,0.0282774901563189,0.00503609123818059,0,0.0116436700219229,0,0,0.116734802364191,0.169770525514484,0,0,0.0549351838458344,0,0,0,0,0,0
XEM,0,0,0,0,0,0,0.180130505017825,0,0.179780178981022,0,0,0,0,0.233378768433338,0,0,0,0,0,0
TRX,0,0,0,0.166311136923049,0,0.00856878165400203,0,0,0.157144759451243,0.211260541450721,0.0824849506390692,0.0928361350999381,0.123641136821754,0,0.0960510535817735,0,0,0,0,0.0432576105807357
BNB,0,0,0,0,0,0,0,0,0.388977884018758,0.0733386448584141,0.0952010453051626,0,0.0614980827445065,0.0247621796574625,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0467325509052922
CVIX.INDEX,0,0,0,0,0,0,0,-0.00000000000000000000000661744490042422,0,0,0,0,0,0,0,0,0,0,0,0.0369850382776808
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00343042643229736
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000000435073772609097,0,0,0,0,0,-0.0786397042737148
VIX.INDEX,0,0,0,0,0,-0.0109192659271043,0,0,0,0,0.0545348752323387,0,0.0625206544214305,-0.0000000000000000000016940658945086,0,0,0,0,-3.11974580218959,0
