,BTC,XRP,ETH,BCH,ADA,LTC,MIOTA,XEM,DASH,XMR,XLM,EOS,NEO,BTG,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.0315184474299777,0,-0.0700112317993148,0.0714418968357242,0.072122871932317,0.0409732661106728,0,0,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0.0660149169591401,0.021318924008425,0,0.107960058046546,0,0,0.0600934658170062,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0.00269797871781178,0.2014886812686,0,0,0,0,0,0.0722048843301179,0.0731188067697112,0,0.105911572568621,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0.0320117838211564,0.292263903708725,0,0,0.111455761710814,0.0445811567774354,0.218682831747669,0.0333506147364748,0,0,0,0,0
ADA,0,0.118572300790404,0,0,0,0,0.02469549977239,0.0380923483470763,0,0,0.378505003274691,0,0,0,0.211557018643982,0,0,0,0,0
LTC,0.116064589489686,0,0.214069630413843,0,0,0,0.0466517240844926,0.227418575055837,0,0,0,0,0,0,0.0413969813003965,0,0,0,0,0
MIOTA,0,0,0,0,0.0656071162466433,0.120245100288829,0,0.124057749973956,0,0,0.166619430235352,0,0,0,0.203738739836316,0,0,0,0,0
XEM,0,0.107604658610023,0,0,0.158153267303431,0.046307847005779,0.0698009466084256,0,0,0,0.0123208699155955,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0.0675453340194125,0.0458973065491009,0.0547731753908611,0,0.0191857318888138,0,0.0776926366116725,0,0,0,0.0271816434378977,0,0,0,0,0,0
XMR,0,0,0,0,0,0,0.0562041976005686,0,0.222796603560483,0,0.108306285446122,0.0139616102421742,0.0872178478190948,0.0347353400033261,0.100853702778815,0,0,0,0,0
XLM,0,0.0213978675194425,0,0,0.261197358491771,0,0.145586306088718,0,0,0.166833617702999,0,0.065358167648719,0,-0.034346484996092,0,0,0,0,0,0
EOS,0.212936799530992,0.0490040152452835,0.24767650107343,0.138395876403004,0,0.0362465462083952,0.113188131097997,0,0,0,0.121402145026835,0,0.209151922848648,0.0475391384576873,0,0,0,0,0,0
NEO,0,0.119499271429062,0,0,0.0230035341839502,0,0,0.016348872636076,0,0,0.112854732768536,0.0707587077015856,0,0,0.0211290709680111,0,0,0,0,0
BTG,0,0,0,0.487455271376863,0.0124533839419549,0,0,0,0,0,0,0,0,0,0.0801666101492978,0,0,0,0,0
ETC,0,0,0,0.0494497224530796,0.0967717944742501,0,0,0.0972802302873905,0,0,0,0,0,0.0185739349385714,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,-0.00966479869236114,0,0,0,0,0,0.0116131003548074,0.0114959707644962,0,-0.0044303239182526,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,-0.000000128745041782892,0,0,0,0,0,0,0,0.0000000916260200308779,0,0,0.000000111116369957931,0,0,0,0,0,0,0,-0.0159753199385219
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
