,BTC,ETH,XRP,LTC,DASH,DOGE,XLM,XMR,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.426384603807743,0.00963059957598282,0,0,0.0885360469507519,0,0.00524158056243965,0,0,0,0,0
ETH,0,0,0,0,0,0,0,0.171478496825653,0,0,0,0,0,0,0.0515414168648975
XRP,0.0984703963266783,0,0,0,0,0,0.176062731436681,0,0,0.00506341646272608,0,0,0,0,0
LTC,0.593568582254388,0,0,0,0,0,0,0,0.00766680425120589,0,0,0,0,0,-0.0036425656890122
DASH,0.261569904103757,-0.414500251770508,0.041503527659026,0,0,0.000000000000000000433680868994202,0.0326390781112288,0,-0.0030587000113369,0,0,0,0,0,0
DOGE,0.54056835999993,0.0406970936166907,0,0.182291436009754,0,0,0,0,0.0174598519384643,-0.0437902819322438,0,0,0,0,-0.0308476341836038
XLM,0,0,0,0.100433728002229,0,0,0,0,0.024693113901797,0.0580090274749021,0,0,0,0,0
XMR,0.739652645227154,0.150673099902644,0,0,-0.14195266198947,0,0,0,-0.0551553029252654,0.0188586199912734,0,0,0,0,0
XEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DGB,0.463268027799448,0,-0.177861819993146,0,0,0,0.395362707001779,0,0,0,0,0,0,0,0.109526756142001
BV010082.INDEX,0,0,0,0,0,0,0,0,0.0081514544046161,0,0,0,0,0,-0.0421533424596832
CVIX.INDEX,0,0,0,0,0,0,0,0,-0.000000378311591747897,0,0,0,0,0,0.0525812808166551
DXY.INDEX,0,0,0,0,0,0,0,0.000000455282895541429,0,0,0,0,0,0,-0.011136852936
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0903066321030742
VIX.INDEX,0,-0.0000465018620570492,0.000319090458192071,-0.00033302615933212,-0.00005519136177068,0,0,0,-0.00000586787857023292,0.0000588613761154775,0,0,0,-3.87528665106596,0
