,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,MIOTA,TRX,ETC,DASH,NEO,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.100593003102695,0.0268270505775967,0,0,0,0.0928035457709417,0,0.000000000000000000433680868994202,0,0,0,0.0488641707944969,0,0,0,0,0
ETH,0,0,0,0.106629015105719,0.0997695288633559,0,0,0,0,0.0303749155482714,0.251088234117518,0.0297095204255303,0,0.0239645181616505,0,0,0,0,0,0
XRP,0,0,0,0,0.131110922962661,0,0,0,0,0.238393374106052,0.0667826564999192,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0.0359374576700687,0,0,0.145520072969484,0.0493452849856248,0.0827423837116334,0.201155126466749,0,0,0.000758158820678622,0,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0.00564731402394332,0.0294312762351245,0,0.170199227051985,0,0,0.28698293095772,0.00821801375207161,0,0,0,0,-0.00897469016739241
XLM,0,0,0,0,0,0,0,0.389603494389637,0,0,0,0,0,0,0.159881346651057,0,0,0,0,0
LTC,0,0,0,0.321548734038937,0.0680821865827156,0,0,0,0,0.0933561163237358,0,0,0,0,0,0,0,0,0,0
ADA,0,0,0,0.0379624354508807,0.141061552668077,0.114962308438922,0,0,0,0,0.228168744548381,0,0,0.106880953051317,0,0,0,0,0,0
XMR,0.253267843281796,0,0,0.448977002081512,0,0,0,0.0575487458087086,0,0.09618280181151,0,0,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0.0640644704336472,0.037513238637513,0,0,0,0,0,-0.000000000000000000433680868994202,0.0569523760793033,0,0.575120925265783,0,0,0,0,0,0
TRX,0,0,0,0.0981017967615158,0.193623011486171,0,0,0.102955366450215,0,0.187566309548915,0,0,0,0.104324681320683,0,0,0,0,0,0
ETC,0,0.0603678991017312,0,0,0,0,0,0,0.271170877229701,0.176762317582808,0,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0,0,0,0,0.0595821810611807,0.0740037545512363,0.147182535223705,-0.000000000000000000867361737988404,0,0,0.220780971727329,0,0,0,0,0,0
NEO,0,0,0,0,0.240658262980627,0,0,0.0165196220753523,0,0.408772253063436,0.0889699181101562,0,0,0,0,0,0,0,0,0
XEM,0,0,0,0,0.072101445054748,0.0887340847774207,0,0.195980412648628,0,0.0924704851635746,0,0,0,0.0132896252072143,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00504569178818773,0,0,0,0,0,-0.0669359622053009
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000000508910195676723,0,0.0322938016361376,0,0,-0.00671123367197389
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0471205372309059
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
