,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,MIOTA,TRX,NEO,DASH,XMR,XEM,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0510584684183607,0,0,0.10512657226684,0,0.0199433044213311,0,0.00899682964526076,0,0,0.116111235167375,0,0,0,0,0,0
ETH,0,0,0.0356750223960607,0.100348069465792,0,0,0.0763213614973702,0,0.153112868511776,0,0,0,0,0.00583707207497141,0,0,0,0,0,0
XRP,0,0,0,0,0.0343933317139422,0,0.116702044708787,0.0224242548008399,0.114345035946178,0,0.036006615979184,0,0,0.286019637510659,0,0,0,0,0,0
BCH,0,0,0,0,0.0180549100307424,0,0.0403364689303556,0.108956899162948,0.349224132068978,0.0355594806374691,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0.184077383077162,0.0599373258506452,0.184774442141716,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0.0759056564748869,0.175820745561439,0.0491769546630579,0,0,0.00461921737562716,0.0383386711329358,0.0286411579867103,0,0,0,0.11585401520638,0,0,0,0,0,0
ADA,0,0,0.163146215440387,0.0474662055466572,0.062355943813137,0,0,0.299975592676323,0.00585162459224857,0,0,0,0,0.0487902120945525,0,0,0,0,0,0
XLM,0,0,0,0,0.103389827756966,0,0.287361698872234,0,0,0,0,0,0,0.24700567094674,0,0,0,0,0,0
MIOTA,0,0,0.117847258221664,0.2086855405205,0,0,0.191222957650125,0,0,0,0.00000000000000000346944695195361,0.157785782956645,0,0.0817500097095213,0,0,0,0,0,0
TRX,0,0,0,0.0227526012375784,0.204751872481877,0,0,0.385784327048445,0,0,0.200306135213943,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0.0975283782541409,0.0889679258898455,0,0.0391708767181701,0.0648983075979842,0.191187824682084,0,0,0,0,0.238536362774016,0,0,0,0,0,0
DASH,0,0,0,0.0947178712075068,0,0,0,0.0614268422302148,0.320980832815871,0.0467763433951207,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0,0.00715139064659798,0,0.063833509440608,0.0978140377948837,0.0327847807236458,0,0,0.204223454253054,0,0.0730904521122896,0,0,0,0,0,0
XEM,0,0,0.159243937432467,0.0088723370627233,0,0,0,0.160118397961456,0.208840625536132,0.0124083571885754,0.122134830527382,0,0,0,0,0,0,0,0,0
BNB,0,0,0,0.0697882913092359,0,0,0.100363388114745,0.0804073122054478,0.0916963613257699,0,0,0.0291209718523306,0,0.0582534096955754,0,0,0,0,0,0
BV010082.INDEX,0,0,0.00119241403533994,0.000196763384508444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0791995789201513
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,-0.0000013977036483712,0,0,0,0,0,0,-0.096788039260303
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
