,BTC,INNBCL,ETH,XRP,BCH,BSV,LTC,BNB,EOS,TAGZ5,XTZ,XLM,LINK,ADA,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.00000000000000000010842021724855,0.00309897415319514,0,0.00492744771482741,0.0766909377628214,0,0,0,0.0011758978668872,0.152964944602046,0,0,0.0628255279451595,0,0,0,0,0,0
INNBCL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0.000495519177248469,0,0,0.158421326180287,0.154236714773307,0,0.0027108230892353,0,0.0161764607870631,0.241731429535381,0,0,0.04263518588142,0,0,0,0,0,0
XRP,0,0.000150392606814521,0.0194160357516956,0,0.07671990566106,0.15017059925013,0,0,0,0,0.0885783063567121,0,0,0.104036063034781,0,0,0,0,0,0.00436928812882475
BCH,0,0,0.164382333110422,0,0,0.345442446912616,0,0,0.00929128807888897,0,0,0,0,0.238057684534294,0,0,0,0,0,0
BSV,0,-0.00102034007533064,0,0,0.573112081136565,0,0,0,0,0,0.0104921336775397,0,0.114468808056764,0,0,0,0,0,0,0
LTC,0,0.00244039607722258,0,0,0.0452271680760976,0.0218179468183316,0,0,0,0,0.240428625750061,0,0.00957678039955625,0.0698266479122366,0,0,0,0,0,0
BNB,0,-0.001709140899992,0.302251254310313,0,0,0.0570570554766094,0,0,0,0,0.174909112446175,0,0,0.0593287179367373,0,0,0,0,0,0
EOS,0,0,0,0,0.148046455686736,0.101797097034189,0,0,0,0.0047077833663497,0.119395646499231,0,0,0.0557211055321051,0,0,0,0,0,0
TAGZ5,0,0.00580833711995181,0.0893661779010805,0,0.254674173497785,0,0,0,0,0,0.0880714110282499,0,0,0,0,0,0,0,0,0
XTZ,0,0.0032943114140603,0.29999030512265,0,0,0,0,0,0,0.0237862053905127,0,0,0.473666052577323,0,0,0,0,0,0,0
XLM,0,0.000644718712576978,0,0,0.0114248783464816,0.184517171877829,0,0,0,0,0.176907620649832,0,0,0.276408337899322,0,0,0,0,0,0
LINK,0,0.00100191903249061,0,0,0,0,0,0,0,0,0.5931461572421,0,0,0,0,0,0,0,0,0
ADA,0,0.0000000000000000000067762635780344,0,0,0.205862517843729,0,0,0.0577889376989791,0,0,0.295329406885188,0,0.0522106187272985,0,0,0,0,0,0,0
XMR,0,0,0,0,0.11649551356991,0.2013269936368,0,0.125514024023456,0,0.0199612434172234,0.0877788975296284,0,0,0.0537832878176173,0,0,0,0,0,0
BV010082.INDEX,0,-0.00188603809782581,0,0,0,-0.0202761762482772,0,0,0,0,0,0,0,0,0,0,-0.102427738358662,0,0,0
CVIX.INDEX,0,-0.00000900484109484925,0,0,0,0,0,0,0,-0.00000539904296113477,0,0,0,0,0,0,0,0,-0.403875497452608,0
DXY.INDEX,0,0,0,-0.000000203356349282964,0,0,0,0,0,0,0,0,0,0,0,0.00296825344448044,0,0,0,-0.0158101725630382
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0285986857334376,0,0,-0.269009730756821
VIX.INDEX,0,0.0287513827419135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138993311781011,0,-1.21081293304256,0
