,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,MIOTA,TRX,XMR,NEO,DASH,BNB,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.134297812678512,0.00287719083035752,0,0,0,0.059566021680556,0.0315718177047655,0.0835195084233246,0.0139844116300627,0,0,0,0,0,0,0,0
ETH,0,0,0,0.285501064973709,0,0,0,0,0.0905872682001619,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0.117595371739112,0.135965185172844,0,0,0,0.157040056213868,0.116832130975826,0,0,0,0,0,0,0,0,0,0
BCH,0,0.195214820711918,0,0,0.163997711353699,0,0,0.268635646139253,0.128262378679736,0.0514780970661923,0,0.0144632619833893,0,0,0.00912160851209218,0,0,0,0,0
EOS,0,0,0,0.100501976656352,0,0,0,0.228113674963042,0.013590045080853,0.0797527766409826,0,0.217216483708398,0,0,0,0,0,0,0,-0.0460102860778805
LTC,0,0,0,0.357343167225549,0.0220791161973267,0,0,0,0.10651767942851,0,0,0,0,0,0.0474869844781002,0,0,0,0,0
XLM,0,0,0,0.0205974136341403,0.149037856948574,0,0,0,0.0489991404799162,0.0500114647771434,0,0.281007068896842,0,0,0,0,0,0,0,0
ADA,0,0,0,0.223927826898618,0.133973626208979,0,0,0,0.114009920667163,0.116497395981255,0,0,0,0,0,0,0,0,0,0
MIOTA,0,0.0549553661616528,0,0,0,0,0.110890709741796,0.476178768276017,0,0.00200033918610971,0,0.0988811476952926,0,0,0,0,0,0,0,0
TRX,0,0,0,0,0.225972960208614,0,0.260089319510731,0.114540302776012,0,0,0,0.0729771951870347,0,0,0,0,0,0,0,0
XMR,0,0,0,0.278041302626968,0.116043377941079,0,0,0.0486717525104493,0.0448253113398537,0.00674971504943448,0,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0.128329797383115,0.0976320996582739,0,0,0.153275425902007,0.143288170375927,0.0933988128648707,0,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0.325701873744577,0,0,0.0714649002619012,0,0,0,0,0.0216805794223737,0,0,0.0238994048517424,0,0,0,0,0
BNB,0,0.0592671354933974,0,0.0231992204186031,0.13083420238468,0,0,0.0074181868883474,0.0867321707321495,0,0,0,0,0,0.170256362838252,0,0,0,0,0
ETC,0,0,0,0.279603363302579,0,0,0,0,0.139902890648277,0,0.0838296729814044,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.071391254121248
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0469414845699958
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
