,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,MIOTA,TRX,NEO,DASH,XMR,XEM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0,0.118498171650296,0.00741684119196948,0.131738643168876,0,0,0.139447157635673,0,0,0,0,0,0,0,0
ETH,0,0,0.157985449476511,0.0347017247126135,0,0,0,0,0.100288528855492,0,0.0195400698749598,0.0972928431186033,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0.00540139630831988,0,0.0583162731804924,0.159025690892207,0.190201742258911,0,0.0492483160452299,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0,0.195379209264067,0,0,0.290187466335259,0.044804596227672,0,0.10650828471889,0,0,0,0,0
EOS,0,0,0,0,0,0,0.369220764066059,0,0,0.225810012382845,0,0,0,0,0,0,0,0,0,0
LTC,0,0.0614126067927969,0.0210774069834899,0.0783539907637053,0.0351499506775244,0,0,0,0.126436878368394,0.0268091021600915,0.0160375894245974,0.125699087954794,0.0274938094537896,0,0,0,0,0,0,0
ADA,0,0,0.239023584560272,0,0.0328189384048202,0,0,0.319636930702206,0.129847819870479,0,0,0,0,0.0456013292162863,0,0,0,0,0,0
XLM,0,0,0,0,0.0709257741043294,0,0.344795399690272,0,0,0,0.164809960178035,0,0,0,0,0,0,0,0,0
MIOTA,0,0,0.0349076907384124,0.114604447107563,0,0,0.233161315104155,0,0,0,0.00223579961315992,0.129962705684586,0.235645304513279,0,0,0,0,0,0,0
TRX,0,0,0,0.328609719867747,0.0624151035842244,0,0,0.304057323086358,0,0,0,0,0.064781852795169,0,0,0,0,0,0,0
NEO,0,0,0,0,0.0395164053931143,0,-0.00000000000000000693889390390723,0.25962509832214,0.346873526459187,0.00480090212437078,0,0,0.0870542420258741,0,0.0592805783049485,0,0,0,0,0
DASH,0,0,0,0.171409064147684,0.0315769628478287,0,0,-0.0000000000000000000542101086242752,0.231486219939845,0.032827262089477,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0.124416448891817,0,0.10353367927854,0,0.0300432855514984,0.216702215011838,0,0.0427287925072853,0.081961706607207,0,0,0,0,0,0,0,0
XEM,0,0,0,0,0,0,0.0963342143710943,0.217317231388643,0.25149073944988,0.0148867693053932,0,0,0,0,0.0366447264744559,0,0,0,0,0
ETC,0,0,0,0.179693355527165,0.0825465213157144,0,0,0.119491419333649,0.01968810103811,0.0490177092832998,-0.00000000000000000693889390390723,0,0,0.144169549109402,0,0,0,0,0,0
BV010082.INDEX,0,0,0.0283868406497308,0,0.0139362292011082,0,-0.0162206069587676,0,0,-0.0254877727121512,-0.0195983674345629,0.0534940443539377,0,-0.0255163721691811,0.00382930773991943,0,0,0,0,-0.0589218031819542
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0.0000000891209783858177,0,0,0,0,0,0,0,0,0,0,0,-0.109509058921945
VIX.INDEX,0.00000666286797176254,0,0,0,-0.00000761577535386551,0,0,0,0,-0.000010839340550287,0.0000148402470521745,0,0.00000327544196315248,0,0,0,0,0,-3.8771212308523,0
