,BTC,XRP,ETH,XLM,BCH,EOS,LTC,BSV,TRX,ADA,XMR,BNB,MIOTA,XEM,DASH,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.00591854334017284,0,0,0.00305184736357948,0.0499459982981677,0.028638501492044,0,0.0263362793444892,0.161620151304077,0,0,0,0,0,0,0
XRP,0,0,0,0.147700557272507,0.0374370691939813,0,0,0,0,0.0363178075388347,0,0,0.195307068130012,0.066869686924488,0,0,0,0,0,0
ETH,0,0.0482129965485546,0,0,0.143418612878435,0,0.0670939049397492,0,0,0.147367134731196,0,0,0,0,0,0,0,0,0,0
XLM,0,0.240413667128669,0,0,0.169993940857641,0,0,0,0.0638036267585127,0.313874902641925,0,0,0,0,0,0,0,0,0,0
BCH,0,0,0.0294053363403044,0,0,0.311010006002744,0,0.0351119929837446,0,0.474611352357064,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0.255773565935944,0.160130431459863,0.0585417612121045,0,0.0670385331229328,0,0,0.0437211725103961,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0.354390614299208,0,0.0219831310441913,0,0,0,0,0.188621211020619,0.0720074936871835,0,0.0603184273475576,0,0,0,0,0,0,0
BSV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRX,0,0,0.0123426560114163,0.0259891004807913,-0.00000000000000000173472347597681,0,0,0,0,0.30773852000931,0,0.319453294050762,0.134082686318525,0,0,0,0,0,0,0
ADA,0,0,0.0745427842898333,0.112762837472209,0.179345790792087,0,0,0,0.136450763822601,0,0,0,0.20361191214331,0,0.103815157809221,0,0,0,0,0
XMR,0,0,0,0,0.0921061214463014,0,0,0.00610353589475667,0,0.110035807821697,0,0,0.117060226698991,0,0.112932592014428,0,0,0,0,0
BNB,0,0,0,0,0.0794165613661995,0,0,0,0.138383344545643,0,0,0,0.040471648792498,0,0,0,0,0,0,0
MIOTA,0,0,0,0.0775594469815966,0.212504226208517,0,0,0.0253385939597588,0.132288493256808,0.0908372950741294,0,0,0,0,0,0,0,0,0,0
XEM,0,0,0,0,0,0,0,0,0.134833495403487,0.116224365850061,0,0,0.235613631142503,0,0,0,0,0,0,0
DASH,0,0,0.0485291174029266,0,0,0,0,0,0.0440419799315789,0.134478775830109,0,0,0.194461418529457,0.0562443133349578,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0125866069804682
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0373998915814563
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.106868212080935
VIX.INDEX,0,0,0,0,-0.00000232563953190193,0,0,0.000000711377140376286,0,0,0,0,0,-0.00000199388055800231,0,0,0.399045256177691,0,-3.7271650638535,0
